c,figi,h,interval,l,o,time,v
435.01,BBG000BB5006,439,1min,431.62,436,2022-02-22 04:00:00+00:00,68
435,BBG000BB5006,435.66,1min,435,435.66,2022-02-22 04:01:00+00:00,17
432,BBG000BB5006,434.9,1min,432,434.9,2022-02-22 04:02:00+00:00,5
431.61,BBG000BB5006,432,1min,431.61,432,2022-02-22 04:03:00+00:00,14
430.0,BBG000BB5006,431.18,1min,430.0,430.0,2022-02-22 04:04:00+00:00,24
426,BBG000BB5006,430.0,1min,426,430.0,2022-02-22 04:05:00+00:00,7
428,BBG000BB5006,432,1min,428,429.75,2022-02-22 04:06:00+00:00,24
426.6,BBG000BB5006,428,1min,426.6,428,2022-02-22 04:07:00+00:00,7
425.64,BBG000BB5006,426.11,1min,425,426.11,2022-02-22 04:08:00+00:00,13
424.83,BBG000BB5006,425.64,1min,424.13,425,2022-02-22 04:09:00+00:00,32
422.01,BBG000BB5006,424.83,1min,420.0,424.83,2022-02-22 04:10:00+00:00,62
421.2,BBG000BB5006,422.01,1min,421.2,422,2022-02-22 04:11:00+00:00,6
420.0,BBG000BB5006,421.1,1min,420.0,421.1,2022-02-22 04:12:00+00:00,39
419,BBG000BB5006,419,1min,415,415,2022-02-22 04:13:00+00:00,3
415,BBG000BB5006,418.37,1min,415,418.37,2022-02-22 04:14:00+00:00,6
415,BBG000BB5006,415,1min,415,415,2022-02-22 04:15:00+00:00,1
415,BBG000BB5006,415,1min,415,415,2022-02-22 04:16:00+00:00,1
414.19,BBG000BB5006,414.99,1min,414.19,414.99,2022-02-22 04:17:00+00:00,2
414.21,BBG000BB5006,414.99,1min,414.2,414.2,2022-02-22 04:18:00+00:00,6
414.19,BBG000BB5006,414.99,1min,414.19,414.99,2022-02-22 04:19:00+00:00,25
414.98,BBG000BB5006,414.98,1min,414.97,414.97,2022-02-22 04:20:00+00:00,2
414.98,BBG000BB5006,414.98,1min,414.98,414.98,2022-02-22 04:21:00+00:00,2
414.98,BBG000BB5006,414.98,1min,414.68,414.68,2022-02-22 04:23:00+00:00,7
414.98,BBG000BB5006,414.98,1min,414.98,414.98,2022-02-22 04:24:00+00:00,2
414.99,BBG000BB5006,414.99,1min,414.98,414.98,2022-02-22 04:25:00+00:00,26
415,BBG000BB5006,415,1min,414.99,414.99,2022-02-22 04:26:00+00:00,6
415,BBG000BB5006,415,1min,415,415,2022-02-22 04:27:00+00:00,5
415,BBG000BB5006,415.02,1min,415,415.01,2022-02-22 04:28:00+00:00,5
421.35,BBG000BB5006,421.35,1min,421.35,421.35,2022-02-22 04:30:00+00:00,1
