c,figi,h,interval,l,o,time,v
441.44,BBG000BB5006,441.44,1min,441.44,441.44,2022-02-23 05:00:00+00:00,1
443.48,BBG000BB5006,443.48,1min,443.48,443.48,2022-02-23 05:33:00+00:00,1
443.49,BBG000BB5006,443.49,1min,443.49,443.49,2022-02-23 05:40:00+00:00,1
443.49,BBG000BB5006,443.49,1min,443.49,443.49,2022-02-23 06:05:00+00:00,1
443.49,BBG000BB5006,443.49,1min,443.49,443.49,2022-02-23 06:06:00+00:00,2
444.69,BBG000BB5006,444.69,1min,443.5,443.5,2022-02-23 06:20:00+00:00,4
443.89,BBG000BB5006,443.89,1min,443.89,443.89,2022-02-23 06:34:00+00:00,1
443.89,BBG000BB5006,443.89,1min,443.89,443.89,2022-02-23 06:35:00+00:00,1
444.69,BBG000BB5006,444.69,1min,444.5,444.5,2022-02-23 06:39:00+00:00,3
442.61,BBG000BB5006,442.61,1min,442.61,442.61,2022-02-23 06:41:00+00:00,2
442.65,BBG000BB5006,442.66,1min,442.65,442.66,2022-02-23 07:00:00+00:00,2
442.01,BBG000BB5006,442.01,1min,442.01,442.01,2022-02-23 07:04:00+00:00,1
442.19,BBG000BB5006,442.19,1min,442.19,442.19,2022-02-23 07:19:00+00:00,1
442.21,BBG000BB5006,442.21,1min,442.21,442.21,2022-02-23 07:25:00+00:00,1
442.28,BBG000BB5006,442.28,1min,442.28,442.28,2022-02-23 07:26:00+00:00,2
441.95,BBG000BB5006,441.95,1min,441.95,441.95,2022-02-23 07:47:00+00:00,1
442.46,BBG000BB5006,442.46,1min,442.33,442.33,2022-02-23 07:50:00+00:00,2
443.19,BBG000BB5006,443.19,1min,443.19,443.19,2022-02-23 08:36:00+00:00,1
443.2,BBG000BB5006,443.2,1min,443.2,443.2,2022-02-23 08:39:00+00:00,1
442.95,BBG000BB5006,442.95,1min,442.95,442.95,2022-02-23 08:52:00+00:00,7
444.7,BBG000BB5006,444.7,1min,444.67,444.67,2022-02-23 09:01:00+00:00,7
444.78,BBG000BB5006,444.78,1min,444.78,444.78,2022-02-23 09:02:00+00:00,1
444.76,BBG000BB5006,444.76,1min,444.76,444.76,2022-02-23 09:04:00+00:00,2
444.25,BBG000BB5006,444.25,1min,444.25,444.25,2022-02-23 09:08:00+00:00,1
445.1,BBG000BB5006,445.1,1min,445.1,445.1,2022-02-23 09:13:00+00:00,2
444.44,BBG000BB5006,444.44,1min,444.44,444.44,2022-02-23 09:16:00+00:00,1
444.54,BBG000BB5006,444.54,1min,444.54,444.54,2022-02-23 09:18:00+00:00,2
444.54,BBG000BB5006,444.54,1min,444.54,444.54,2022-02-23 09:19:00+00:00,12
443.82,BBG000BB5006,443.82,1min,443.82,443.82,2022-02-23 09:20:00+00:00,1
445.09,BBG000BB5006,445.09,1min,444.53,444.53,2022-02-23 09:22:00+00:00,8
446.02,BBG000BB5006,446.02,1min,446.02,446.02,2022-02-23 09:28:00+00:00,1
446.03,BBG000BB5006,446.03,1min,446.03,446.03,2022-02-23 09:29:00+00:00,1
446,BBG000BB5006,446,1min,446,446,2022-02-23 09:30:00+00:00,1
446.01,BBG000BB5006,446.01,1min,446,446,2022-02-23 09:33:00+00:00,4
445.42,BBG000BB5006,445.42,1min,445.42,445.42,2022-02-23 09:36:00+00:00,2
446.12,BBG000BB5006,446.12,1min,446.11,446.11,2022-02-23 09:37:00+00:00,2
446.49,BBG000BB5006,446.49,1min,446.49,446.49,2022-02-23 09:39:00+00:00,35
446.24,BBG000BB5006,446.24,1min,446.24,446.24,2022-02-23 09:42:00+00:00,1
446.24,BBG000BB5006,446.24,1min,446.24,446.24,2022-02-23 09:46:00+00:00,3
446.99,BBG000BB5006,446.99,1min,446.99,446.99,2022-02-23 09:47:00+00:00,1
447,BBG000BB5006,447,1min,447,447,2022-02-23 09:51:00+00:00,1
447,BBG000BB5006,447,1min,447,447,2022-02-23 09:57:00+00:00,74
448.15,BBG000BB5006,448.15,1min,448.15,448.15,2022-02-23 09:59:00+00:00,3
447.63,BBG000BB5006,447.63,1min,447.63,447.63,2022-02-23 10:03:00+00:00,5
448.48,BBG000BB5006,448.48,1min,448.48,448.48,2022-02-23 10:04:00+00:00,10
447.76,BBG000BB5006,447.76,1min,447.76,447.76,2022-02-23 10:11:00+00:00,1
447,BBG000BB5006,447,1min,447,447,2022-02-23 10:12:00+00:00,3
447,BBG000BB5006,447,1min,447,447,2022-02-23 10:13:00+00:00,1
447,BBG000BB5006,447,1min,447,447,2022-02-23 10:15:00+00:00,65
446.88,BBG000BB5006,446.88,1min,446.88,446.88,2022-02-23 10:23:00+00:00,1
446.45,BBG000BB5006,446.45,1min,446.45,446.45,2022-02-23 10:37:00+00:00,2
446.55,BBG000BB5006,446.55,1min,446.55,446.55,2022-02-23 10:42:00+00:00,1
446.56,BBG000BB5006,446.56,1min,446.56,446.56,2022-02-23 10:44:00+00:00,1
444.6,BBG000BB5006,445.79,1min,444.6,445.79,2022-02-23 10:48:00+00:00,11
443.99,BBG000BB5006,443.99,1min,443.99,443.99,2022-02-23 11:04:00+00:00,1
442.6,BBG000BB5006,443.78,1min,442.3,443.78,2022-02-23 11:21:00+00:00,11
443.7,BBG000BB5006,443.7,1min,443.7,443.7,2022-02-23 11:28:00+00:00,1
443.77,BBG000BB5006,443.77,1min,443.76,443.76,2022-02-23 11:48:00+00:00,5
448.51,BBG000BB5006,448.51,1min,443.69,443.69,2022-02-23 12:03:00+00:00,100
444.38,BBG000BB5006,444.38,1min,444.38,444.38,2022-02-23 12:04:00+00:00,10
444.56,BBG000BB5006,444.56,1min,444.56,444.56,2022-02-23 12:11:00+00:00,2
444.45,BBG000BB5006,444.45,1min,444.45,444.45,2022-02-23 12:19:00+00:00,1
444.54,BBG000BB5006,444.54,1min,444.54,444.54,2022-02-23 12:32:00+00:00,10
444.44,BBG000BB5006,444.45,1min,444.31,444.31,2022-02-23 12:33:00+00:00,3
444.78,BBG000BB5006,444.78,1min,443.91,444.54,2022-02-23 12:35:00+00:00,46
444.78,BBG000BB5006,444.78,1min,444.78,444.78,2022-02-23 12:36:00+00:00,1
444.78,BBG000BB5006,444.78,1min,444.78,444.78,2022-02-23 12:38:00+00:00,2
444.78,BBG000BB5006,444.78,1min,444.78,444.78,2022-02-23 12:39:00+00:00,1
445,BBG000BB5006,445,1min,445,445,2022-02-23 12:44:00+00:00,10
445,BBG000BB5006,445,1min,445,445,2022-02-23 12:45:00+00:00,2
445,BBG000BB5006,445,1min,445,445,2022-02-23 12:46:00+00:00,1
445,BBG000BB5006,445,1min,445,445,2022-02-23 12:50:00+00:00,2
444.9,BBG000BB5006,444.9,1min,444.9,444.9,2022-02-23 12:52:00+00:00,1
445,BBG000BB5006,445,1min,445,445,2022-02-23 12:53:00+00:00,24
444.18,BBG000BB5006,444.27,1min,444.18,444.27,2022-02-23 13:04:00+00:00,14
444.12,BBG000BB5006,444.12,1min,444.12,444.12,2022-02-23 13:05:00+00:00,5
444.98,BBG000BB5006,444.98,1min,444.98,444.98,2022-02-23 13:08:00+00:00,1
444.8,BBG000BB5006,444.8,1min,443.65,444.26,2022-02-23 13:11:00+00:00,101
444.75,BBG000BB5006,444.75,1min,444.75,444.75,2022-02-23 13:15:00+00:00,1
444.01,BBG000BB5006,444.01,1min,444.01,444.01,2022-02-23 13:22:00+00:00,2
444,BBG000BB5006,444,1min,444,444,2022-02-23 13:27:00+00:00,1
444.04,BBG000BB5006,444.04,1min,444.04,444.04,2022-02-23 13:30:00+00:00,1
444.04,BBG000BB5006,444.04,1min,444.04,444.04,2022-02-23 13:32:00+00:00,1
444,BBG000BB5006,444,1min,444,444,2022-02-23 13:33:00+00:00,2
443.67,BBG000BB5006,444,1min,443.67,444,2022-02-23 13:35:00+00:00,3
443.67,BBG000BB5006,443.67,1min,443.67,443.67,2022-02-23 13:36:00+00:00,2
443.99,BBG000BB5006,443.99,1min,443.99,443.99,2022-02-23 13:37:00+00:00,1
444.09,BBG000BB5006,444.09,1min,444.09,444.09,2022-02-23 13:43:00+00:00,1
444.48,BBG000BB5006,444.48,1min,444.48,444.48,2022-02-23 13:45:00+00:00,30
444.6,BBG000BB5006,445.3,1min,444.6,444.75,2022-02-23 13:47:00+00:00,62
445.59,BBG000BB5006,445.59,1min,445.59,445.59,2022-02-23 13:49:00+00:00,1
444.9,BBG000BB5006,445.59,1min,444.61,445.51,2022-02-23 14:07:00+00:00,112
446.11,BBG000BB5006,446.11,1min,446,446,2022-02-23 14:08:00+00:00,10
446,BBG000BB5006,446,1min,446,446,2022-02-23 14:12:00+00:00,1
445.11,BBG000BB5006,445.11,1min,445.11,445.11,2022-02-23 14:15:00+00:00,6
445.94,BBG000BB5006,445.94,1min,445.94,445.94,2022-02-23 14:16:00+00:00,2
445.94,BBG000BB5006,445.94,1min,445.85,445.94,2022-02-23 14:17:00+00:00,8
445.11,BBG000BB5006,445.11,1min,445.11,445.11,2022-02-23 14:18:00+00:00,24
445,BBG000BB5006,445,1min,445,445,2022-02-23 14:19:00+00:00,2
444.44,BBG000BB5006,445,1min,444.44,445,2022-02-23 14:20:00+00:00,19
445.27,BBG000BB5006,445.27,1min,445.27,445.27,2022-02-23 14:21:00+00:00,5
445.06,BBG000BB5006,445.53,1min,445.06,445.53,2022-02-23 14:22:00+00:00,4
445.05,BBG000BB5006,445.05,1min,445.05,445.05,2022-02-23 14:23:00+00:00,1
446,BBG000BB5006,446,1min,445.67,445.67,2022-02-23 14:25:00+00:00,48
447.66,BBG000BB5006,447.82,1min,446.13,446.6,2022-02-23 14:26:00+00:00,360
447.8,BBG000BB5006,449,1min,446.67,447.82,2022-02-23 14:27:00+00:00,1232
447.5,BBG000BB5006,447.5,1min,447.5,447.5,2022-02-23 14:28:00+00:00,1
447.37,BBG000BB5006,447.85,1min,446.13,446.13,2022-02-23 14:29:00+00:00,703
447.56,BBG000BB5006,448.54,1min,447,447.96,2022-02-23 14:30:00+00:00,61740
447.25,BBG000BB5006,447.56,1min,446.31,447.56,2022-02-23 14:31:00+00:00,3024
446.41,BBG000BB5006,447.12,1min,445.68,446.47,2022-02-23 14:32:00+00:00,1510
445.8,BBG000BB5006,447,1min,445.8,446.86,2022-02-23 14:33:00+00:00,2865
444.84,BBG000BB5006,446.38,1min,444.66,445.91,2022-02-23 14:34:00+00:00,3034
444.3,BBG000BB5006,444.86,1min,444.03,444.78,2022-02-23 14:35:00+00:00,5652
443.23,BBG000BB5006,445.28,1min,443.23,444.25,2022-02-23 14:36:00+00:00,3230
443.03,BBG000BB5006,443.68,1min,443.02,443.43,2022-02-23 14:37:00+00:00,2619
445.19,BBG000BB5006,445.19,1min,443.26,443.26,2022-02-23 14:38:00+00:00,3073
448.75,BBG000BB5006,449.45,1min,445.19,445.19,2022-02-23 14:39:00+00:00,5597
447.98,BBG000BB5006,448.77,1min,447.14,448.77,2022-02-23 14:40:00+00:00,3569
444.45,BBG000BB5006,448,1min,444.45,447.99,2022-02-23 14:41:00+00:00,2611
444.2,BBG000BB5006,445.14,1min,444.06,444.74,2022-02-23 14:42:00+00:00,1649
443.62,BBG000BB5006,444.2,1min,443.28,443.64,2022-02-23 14:43:00+00:00,3342
444.29,BBG000BB5006,444.42,1min,443.61,443.7,2022-02-23 14:44:00+00:00,2426
445.34,BBG000BB5006,445.34,1min,444.23,444.37,2022-02-23 14:45:00+00:00,296
445.34,BBG000BB5006,445.98,1min,445.28,445.36,2022-02-23 14:46:00+00:00,2476
446.92,BBG000BB5006,447.09,1min,444.91,445.27,2022-02-23 14:47:00+00:00,2569
446.16,BBG000BB5006,446.52,1min,445.79,446.3,2022-02-23 14:48:00+00:00,980
445.58,BBG000BB5006,446.54,1min,445.34,446.27,2022-02-23 14:49:00+00:00,2044
443.77,BBG000BB5006,445.73,1min,443.5,445.73,2022-02-23 14:50:00+00:00,4453
444.34,BBG000BB5006,444.44,1min,443.91,443.91,2022-02-23 14:51:00+00:00,1206
444.39,BBG000BB5006,444.39,1min,443.78,444.05,2022-02-23 14:52:00+00:00,1743
444.22,BBG000BB5006,444.22,1min,443.78,444.19,2022-02-23 14:53:00+00:00,2095
444.29,BBG000BB5006,444.52,1min,443.8,443.89,2022-02-23 14:54:00+00:00,3431
444.75,BBG000BB5006,444.75,1min,443.99,444.29,2022-02-23 14:55:00+00:00,1723
444.9,BBG000BB5006,445.14,1min,444.63,444.85,2022-02-23 14:56:00+00:00,1084
444.39,BBG000BB5006,444.99,1min,443.93,444.99,2022-02-23 14:57:00+00:00,3242
444.47,BBG000BB5006,444.89,1min,444.41,444.63,2022-02-23 14:58:00+00:00,1709
444.31,BBG000BB5006,444.58,1min,444.05,444.53,2022-02-23 14:59:00+00:00,1398
443,BBG000BB5006,444.2,1min,443,444.04,2022-02-23 15:00:00+00:00,6826
443.6,BBG000BB5006,444.16,1min,443,443,2022-02-23 15:01:00+00:00,2926
443.69,BBG000BB5006,443.69,1min,442.91,443.57,2022-02-23 15:02:00+00:00,8469
444.22,BBG000BB5006,444.22,1min,443.63,443.78,2022-02-23 15:03:00+00:00,782
444.06,BBG000BB5006,444.37,1min,443.99,444.26,2022-02-23 15:04:00+00:00,1696
443.73,BBG000BB5006,444.11,1min,443.58,443.89,2022-02-23 15:05:00+00:00,1969
444.33,BBG000BB5006,444.45,1min,444,444.19,2022-02-23 15:06:00+00:00,644
443.98,BBG000BB5006,444.34,1min,443.78,444.34,2022-02-23 15:07:00+00:00,2483
443.94,BBG000BB5006,444.18,1min,443.71,443.99,2022-02-23 15:08:00+00:00,2061
444.27,BBG000BB5006,444.27,1min,443.62,444,2022-02-23 15:09:00+00:00,3962
444.06,BBG000BB5006,444.75,1min,443.99,444.05,2022-02-23 15:10:00+00:00,2014
444.61,BBG000BB5006,444.61,1min,444.25,444.29,2022-02-23 15:11:00+00:00,1280
445.55,BBG000BB5006,445.81,1min,444.59,444.59,2022-02-23 15:12:00+00:00,2089
445.7,BBG000BB5006,445.91,1min,445.4,445.47,2022-02-23 15:13:00+00:00,1114
445.89,BBG000BB5006,446.05,1min,445.55,445.74,2022-02-23 15:14:00+00:00,796
445.32,BBG000BB5006,445.78,1min,445.17,445.78,2022-02-23 15:15:00+00:00,3056
444.56,BBG000BB5006,445.46,1min,444.56,445.43,2022-02-23 15:16:00+00:00,883
444.81,BBG000BB5006,444.81,1min,443.92,444.45,2022-02-23 15:17:00+00:00,1866
444.78,BBG000BB5006,445.3,1min,444.5,444.95,2022-02-23 15:18:00+00:00,2214
444.74,BBG000BB5006,444.88,1min,444,444.47,2022-02-23 15:19:00+00:00,2419
445.54,BBG000BB5006,445.54,1min,444.63,444.65,2022-02-23 15:20:00+00:00,1152
445.99,BBG000BB5006,445.99,1min,445.42,445.63,2022-02-23 15:21:00+00:00,2458
446.57,BBG000BB5006,446.6,1min,445.79,445.8,2022-02-23 15:22:00+00:00,940
445.85,BBG000BB5006,446.63,1min,445.34,446.56,2022-02-23 15:23:00+00:00,1915
444.4,BBG000BB5006,445.73,1min,444.06,445.73,2022-02-23 15:24:00+00:00,2189
443.66,BBG000BB5006,444.33,1min,443.25,444.28,2022-02-23 15:25:00+00:00,3801
443.5,BBG000BB5006,444.07,1min,443.33,443.71,2022-02-23 15:26:00+00:00,4834
442.47,BBG000BB5006,443.54,1min,442.47,443.5,2022-02-23 15:27:00+00:00,2780
442.54,BBG000BB5006,442.82,1min,442.49,442.53,2022-02-23 15:28:00+00:00,1327
442.46,BBG000BB5006,442.97,1min,442.46,442.6,2022-02-23 15:29:00+00:00,693
442.04,BBG000BB5006,442.5,1min,441.99,442.43,2022-02-23 15:30:00+00:00,685
442.91,BBG000BB5006,443,1min,442.27,442.27,2022-02-23 15:31:00+00:00,1334
443.27,BBG000BB5006,443.41,1min,443.03,443.05,2022-02-23 15:32:00+00:00,548
442.97,BBG000BB5006,443.34,1min,442.82,443.1,2022-02-23 15:33:00+00:00,1307
442.35,BBG000BB5006,443.09,1min,442.35,442.97,2022-02-23 15:34:00+00:00,2850
443.27,BBG000BB5006,443.31,1min,442.44,442.49,2022-02-23 15:35:00+00:00,1880
442.98,BBG000BB5006,443.17,1min,442.91,443.12,2022-02-23 15:36:00+00:00,108
442.97,BBG000BB5006,443.15,1min,442.5,443.09,2022-02-23 15:37:00+00:00,1935
442.57,BBG000BB5006,443.09,1min,442.23,443.09,2022-02-23 15:38:00+00:00,766
442.12,BBG000BB5006,442.52,1min,441.9,442.52,2022-02-23 15:39:00+00:00,878
441.55,BBG000BB5006,442.03,1min,441.5,442.01,2022-02-23 15:40:00+00:00,586
441.43,BBG000BB5006,441.62,1min,441.28,441.4,2022-02-23 15:41:00+00:00,446
440.64,BBG000BB5006,441.6,1min,440.54,441.23,2022-02-23 15:42:00+00:00,1301
440.86,BBG000BB5006,440.86,1min,440.3,440.46,2022-02-23 15:43:00+00:00,431
440.27,BBG000BB5006,440.87,1min,439.89,440.72,2022-02-23 15:44:00+00:00,938
439.86,BBG000BB5006,440.41,1min,439.71,440.23,2022-02-23 15:45:00+00:00,560
440.41,BBG000BB5006,440.41,1min,440.01,440.02,2022-02-23 15:46:00+00:00,199
440.8,BBG000BB5006,440.84,1min,440.31,440.52,2022-02-23 15:47:00+00:00,1489
441.22,BBG000BB5006,441.36,1min,440.67,440.98,2022-02-23 15:48:00+00:00,858
440.56,BBG000BB5006,441.22,1min,440.48,441.22,2022-02-23 15:49:00+00:00,2721
440.51,BBG000BB5006,440.96,1min,440.49,440.49,2022-02-23 15:50:00+00:00,706
440.85,BBG000BB5006,441.01,1min,440.28,440.46,2022-02-23 15:51:00+00:00,750
440.48,BBG000BB5006,440.84,1min,440.34,440.84,2022-02-23 15:52:00+00:00,510
440.15,BBG000BB5006,440.48,1min,440.15,440.34,2022-02-23 15:53:00+00:00,746
440.21,BBG000BB5006,440.21,1min,439.83,440.03,2022-02-23 15:54:00+00:00,181
440.05,BBG000BB5006,440.61,1min,439.78,440.23,2022-02-23 15:55:00+00:00,1301
440.6,BBG000BB5006,440.69,1min,439.98,439.98,2022-02-23 15:56:00+00:00,474
441.24,BBG000BB5006,441.41,1min,440.69,440.82,2022-02-23 15:57:00+00:00,1106
440.99,BBG000BB5006,441.28,1min,440.98,441.22,2022-02-23 15:58:00+00:00,560
440.93,BBG000BB5006,441.23,1min,440.61,441.19,2022-02-23 15:59:00+00:00,1341
440.56,BBG000BB5006,440.87,1min,440.14,440.87,2022-02-23 16:00:00+00:00,807
440.63,BBG000BB5006,441.17,1min,440.23,440.23,2022-02-23 16:01:00+00:00,1545
440.63,BBG000BB5006,440.64,1min,440.23,440.39,2022-02-23 16:02:00+00:00,1724
440.27,BBG000BB5006,440.42,1min,440.2,440.42,2022-02-23 16:03:00+00:00,215
439.97,BBG000BB5006,440.2,1min,439.42,440.18,2022-02-23 16:04:00+00:00,1575
439.72,BBG000BB5006,440.31,1min,439.72,440.17,2022-02-23 16:05:00+00:00,307
440.01,BBG000BB5006,440.15,1min,439.43,439.54,2022-02-23 16:06:00+00:00,773
439.57,BBG000BB5006,440.03,1min,439,440.03,2022-02-23 16:07:00+00:00,1934
439.23,BBG000BB5006,439.83,1min,439.07,439.67,2022-02-23 16:08:00+00:00,1082
439.71,BBG000BB5006,439.71,1min,439.01,439.26,2022-02-23 16:09:00+00:00,1732
439.7,BBG000BB5006,439.94,1min,439.17,439.43,2022-02-23 16:10:00+00:00,507
439.67,BBG000BB5006,440.02,1min,439.63,439.65,2022-02-23 16:11:00+00:00,751
439.73,BBG000BB5006,439.85,1min,439.28,439.74,2022-02-23 16:12:00+00:00,1502
440.26,BBG000BB5006,440.26,1min,439.64,439.77,2022-02-23 16:13:00+00:00,2488
440.32,BBG000BB5006,440.35,1min,439.93,440.18,2022-02-23 16:14:00+00:00,4469
440.0,BBG000BB5006,440.18,1min,439.72,440.18,2022-02-23 16:15:00+00:00,2790
439.84,BBG000BB5006,440.0,1min,439.56,439.88,2022-02-23 16:16:00+00:00,2253
