c,figi,h,interval,l,o,time,v
462,BBG000BB5006,462,1min,462,462,2022-02-18 04:00:00+00:00,1
465,BBG000BB5006,465,1min,465,465,2022-02-18 04:11:00+00:00,14
467.72,BBG000BB5006,467.99,1min,467.72,467.99,2022-02-18 04:12:00+00:00,2
466.96,BBG000BB5006,466.96,1min,466.96,466.96,2022-02-18 04:15:00+00:00,1
466.89,BBG000BB5006,466.89,1min,466.89,466.89,2022-02-18 04:16:00+00:00,1
463.1,BBG000BB5006,463.1,1min,463.1,463.1,2022-02-18 04:19:00+00:00,2
466.58,BBG000BB5006,466.58,1min,466.58,466.58,2022-02-18 04:48:00+00:00,5
464.61,BBG000BB5006,464.61,1min,464.61,464.61,2022-02-18 04:50:00+00:00,1
464.44,BBG000BB5006,464.6,1min,464.44,464.6,2022-02-18 04:52:00+00:00,6
466.19,BBG000BB5006,466.19,1min,466.19,466.19,2022-02-18 04:55:00+00:00,1
464.47,BBG000BB5006,464.47,1min,464.47,464.47,2022-02-18 05:08:00+00:00,1
463.27,BBG000BB5006,463.87,1min,463.27,463.87,2022-02-18 05:20:00+00:00,5
463.04,BBG000BB5006,464,1min,463.04,464,2022-02-18 05:32:00+00:00,5
465.65,BBG000BB5006,465.65,1min,465.65,465.65,2022-02-18 05:59:00+00:00,1
463.01,BBG000BB5006,463.01,1min,463.01,463.01,2022-02-18 06:03:00+00:00,1
463.14,BBG000BB5006,463.14,1min,463.14,463.14,2022-02-18 06:21:00+00:00,1
463.78,BBG000BB5006,463.78,1min,463.78,463.78,2022-02-18 06:29:00+00:00,1
463.5,BBG000BB5006,463.5,1min,463.5,463.5,2022-02-18 06:41:00+00:00,1
463,BBG000BB5006,463,1min,463,463,2022-02-18 07:00:00+00:00,5
462.52,BBG000BB5006,462.52,1min,462.09,462.09,2022-02-18 07:01:00+00:00,21
462.52,BBG000BB5006,462.63,1min,462.52,462.63,2022-02-18 07:07:00+00:00,2
