,Date,figi,operation,order_id
57,2021_10_01-22:49:15,BBG000C5HS04,ReallSell,310809603380
58,2021_10_04-17:27:32,BBG000CH5208,Buy,311586121250
59,2021_10_04-17:27:35,BBG000CH5208,Sell,311588709220
60,2021_10_04-20:40:35,BBG000CH5208,Sell,311929313940
61,2021_10_05-11:22:49,BBG000CH5208,Sell,312199366450
62,2021_10_05-16:35:34,BBG000CH5208,ReallSell,312199366450
63,2021_10_05-18:59:30,BBG000BFDLV8,Buy,312556599910
64,2021_10_05-18:59:33,BBG000BFDLV8,Sell,312557699070
65,2021_10_06-10:37:20,BBG000BFDLV8,Sell,312827020620
66,2021_10_07-16:35:34,BBG000BFDLV8,ReallSell,312827020620
67,2021_10_07-18:07:25,BBG000BS5170,Buy,313970805470
68,2021_10_07-18:07:27,BBG000BS5170,Sell,313971948030
69,2021_10_07-18:17:40,BBG000BS5170,ReallSell,313971948030
70,2021_10_07-18:18:53,BBG000BFDLV8,Buy,313986940790
71,2021_10_07-18:18:55,BBG000BFDLV8,Sell,313988983400
72,2021_10_07-19:31:18,BBG000BFDLV8,ReallSell,313988983400
73,2021_10_07-20:30:08,BBG000B9ZXB4,Buy,314097408090
74,2021_10_07-20:30:10,BBG000B9ZXB4,Sell,314098251860
75,2021_10_08-10:18:25,BBG000B9ZXB4,ReallSell,314098251860
76,2021_10_08-20:36:42,BBG000MM2P62,Buy,314721893160
77,2021_10_08-20:36:44,BBG000MM2P62,Sell,314722710150
78,2021_10_08-21:09:29,BBG000MM2P62,ReallSell,314722710150
79,2021_10_08-22:44:03,BBG000MM2P62,Buy,314819318030
80,2021_10_08-22:44:05,BBG000MM2P62,Sell,314820045020
81,2021_10_11-11:23:56,BBG000MM2P62,Sell,314871203830
82,2021_10_12-10:13:00,BBG000MM2P62,Sell,315405263940
83,2021_10_13-10:38:12,BBG000MM2P62,Sell,316047065770
84,2021_10_14-10:10:27,BBG000MM2P62,Sell,316666469320
85,2021_10_15-10:10:50,BBG000MM2P62,Sell,317219622620
86,2021_10_18-10:12:25,BBG000MM2P62,Sell,317740783390
87,2021_10_18-18:11:38,BBG000MM2P62,ReallSell,317740783390
88,2021_10_18-19:47:27,BBG000NDV1D4,Buy,318156010650
89,2021_10_18-19:47:30,BBG000NDV1D4,Sell,318156747700
90,2021_10_19-11:58:27,BBG000NDV1D4,ReallSell,318156747700
91,2021_10_20-21:24:21,BBG000BMW2Z0,Buy,319309053980
92,2021_10_20-21:24:23,BBG000BMW2Z0,Sell,319309860110
93,2021_10_21-12:05:03,BBG000BMW2Z0,Sell,319448260880
