c,figi,h,interval,l,o,time,v
107.63,BBG000BVMGF2,107.63,1min,107.63,107.63,2021-12-10 07:56:00+00:00,1
108.04,BBG000BVMGF2,108.04,1min,108.04,108.04,2021-12-10 08:04:00+00:00,1
108.9,BBG000BVMGF2,108.9,1min,108.9,108.9,2021-12-10 09:11:00+00:00,1
108.89,BBG000BVMGF2,108.89,1min,108.89,108.89,2021-12-10 09:26:00+00:00,1
108.87,BBG000BVMGF2,108.87,1min,108.87,108.87,2021-12-10 09:46:00+00:00,1
108.31,BBG000BVMGF2,108.31,1min,108.31,108.31,2021-12-10 09:57:00+00:00,1
108.46,BBG000BVMGF2,108.46,1min,108.46,108.46,2021-12-10 10:03:00+00:00,1
108.23,BBG000BVMGF2,108.23,1min,108.23,108.23,2021-12-10 10:38:00+00:00,1
108.23,BBG000BVMGF2,108.23,1min,108.22,108.22,2021-12-10 11:32:00+00:00,2
108.23,BBG000BVMGF2,108.23,1min,108.22,108.22,2021-12-10 11:46:00+00:00,3
108.23,BBG000BVMGF2,108.23,1min,108.23,108.23,2021-12-10 12:10:00+00:00,1
108.25,BBG000BVMGF2,108.25,1min,108.25,108.25,2021-12-10 12:43:00+00:00,1
108.25,BBG000BVMGF2,108.25,1min,108.25,108.25,2021-12-10 13:03:00+00:00,1
108.25,BBG000BVMGF2,108.25,1min,108.25,108.25,2021-12-10 13:04:00+00:00,2
108.23,BBG000BVMGF2,108.23,1min,108.23,108.23,2021-12-10 13:05:00+00:00,1
108.23,BBG000BVMGF2,108.23,1min,108.23,108.23,2021-12-10 13:06:00+00:00,2
108.28,BBG000BVMGF2,108.28,1min,108.26,108.26,2021-12-10 13:10:00+00:00,2
108.2,BBG000BVMGF2,108.44,1min,108.2,108.44,2021-12-10 13:13:00+00:00,2
108.24,BBG000BVMGF2,108.24,1min,108.24,108.24,2021-12-10 13:14:00+00:00,1
108.24,BBG000BVMGF2,108.24,1min,108.24,108.24,2021-12-10 13:15:00+00:00,2
108.24,BBG000BVMGF2,108.24,1min,108.24,108.24,2021-12-10 13:17:00+00:00,1
108.24,BBG000BVMGF2,108.24,1min,108.24,108.24,2021-12-10 13:18:00+00:00,1
108.24,BBG000BVMGF2,108.24,1min,108.24,108.24,2021-12-10 13:20:00+00:00,1
108.24,BBG000BVMGF2,108.24,1min,108.24,108.24,2021-12-10 13:23:00+00:00,1
108.2,BBG000BVMGF2,108.2,1min,108.2,108.2,2021-12-10 13:28:00+00:00,1
108.2,BBG000BVMGF2,108.2,1min,108.2,108.2,2021-12-10 13:29:00+00:00,1
108.31,BBG000BVMGF2,108.34,1min,108.31,108.31,2021-12-10 13:30:00+00:00,3
108.33,BBG000BVMGF2,108.34,1min,108.33,108.34,2021-12-10 13:31:00+00:00,2
108.47,BBG000BVMGF2,108.47,1min,108.33,108.33,2021-12-10 13:32:00+00:00,3
108.85,BBG000BVMGF2,108.85,1min,108.47,108.47,2021-12-10 13:33:00+00:00,2
108.91,BBG000BVMGF2,108.91,1min,108.91,108.91,2021-12-10 13:34:00+00:00,2
108.98,BBG000BVMGF2,108.98,1min,108.98,108.98,2021-12-10 13:35:00+00:00,2
108.98,BBG000BVMGF2,108.98,1min,108.98,108.98,2021-12-10 13:36:00+00:00,3
108.53,BBG000BVMGF2,108.53,1min,108.51,108.51,2021-12-10 13:37:00+00:00,3
108.51,BBG000BVMGF2,108.51,1min,108.51,108.51,2021-12-10 13:38:00+00:00,1
108.47,BBG000BVMGF2,108.47,1min,108.47,108.47,2021-12-10 13:39:00+00:00,1
108.43,BBG000BVMGF2,108.45,1min,108.43,108.45,2021-12-10 13:40:00+00:00,3
108.45,BBG000BVMGF2,108.45,1min,108.45,108.45,2021-12-10 13:41:00+00:00,1
108.37,BBG000BVMGF2,108.37,1min,108.37,108.37,2021-12-10 13:42:00+00:00,1
108.29,BBG000BVMGF2,108.31,1min,108.29,108.31,2021-12-10 13:44:00+00:00,2
108.29,BBG000BVMGF2,108.29,1min,108.29,108.29,2021-12-10 13:45:00+00:00,2
108.96,BBG000BVMGF2,108.96,1min,108.02,108.29,2021-12-10 13:46:00+00:00,4
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 13:48:00+00:00,2
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 13:50:00+00:00,1
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 13:51:00+00:00,2
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 13:52:00+00:00,3
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 13:53:00+00:00,5
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 13:54:00+00:00,3
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 13:55:00+00:00,3
108.61,BBG000BVMGF2,108.61,1min,108.61,108.61,2021-12-10 13:56:00+00:00,1
108.98,BBG000BVMGF2,108.98,1min,108.93,108.93,2021-12-10 13:57:00+00:00,3
108.05,BBG000BVMGF2,108.98,1min,108.05,108.98,2021-12-10 13:58:00+00:00,3
108.98,BBG000BVMGF2,108.98,1min,108.98,108.98,2021-12-10 13:59:00+00:00,1
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 14:00:00+00:00,3
108.98,BBG000BVMGF2,108.98,1min,108.98,108.98,2021-12-10 14:01:00+00:00,2
108.2,BBG000BVMGF2,108.98,1min,108.2,108.98,2021-12-10 14:02:00+00:00,24
108.98,BBG000BVMGF2,108.98,1min,108.98,108.98,2021-12-10 14:03:00+00:00,1
108.98,BBG000BVMGF2,108.98,1min,108.98,108.98,2021-12-10 14:04:00+00:00,2
108.98,BBG000BVMGF2,108.98,1min,108.98,108.98,2021-12-10 14:05:00+00:00,1
108.96,BBG000BVMGF2,108.96,1min,108.96,108.96,2021-12-10 14:06:00+00:00,1
108.93,BBG000BVMGF2,108.93,1min,108.93,108.93,2021-12-10 14:07:00+00:00,1
108.95,BBG000BVMGF2,108.95,1min,108.93,108.93,2021-12-10 14:09:00+00:00,2
108.5,BBG000BVMGF2,108.5,1min,108.5,108.5,2021-12-10 14:14:00+00:00,1
108.5,BBG000BVMGF2,108.5,1min,108.5,108.5,2021-12-10 14:16:00+00:00,4
108.5,BBG000BVMGF2,108.5,1min,108.5,108.5,2021-12-10 14:17:00+00:00,3
108.7,BBG000BVMGF2,108.7,1min,108.7,108.7,2021-12-10 14:22:00+00:00,1
108.88,BBG000BVMGF2,108.88,1min,108.88,108.88,2021-12-10 14:23:00+00:00,3
108.89,BBG000BVMGF2,108.89,1min,108.89,108.89,2021-12-10 14:26:00+00:00,2
108.77,BBG000BVMGF2,108.89,1min,108.77,108.78,2021-12-10 14:27:00+00:00,4
108.89,BBG000BVMGF2,108.89,1min,108.89,108.89,2021-12-10 14:29:00+00:00,1
108.45,BBG000BVMGF2,108.5,1min,108.09,108.09,2021-12-10 14:30:00+00:00,291
108.1,BBG000BVMGF2,108.28,1min,108,108.28,2021-12-10 14:31:00+00:00,562
108.12,BBG000BVMGF2,108.13,1min,108.12,108.13,2021-12-10 14:32:00+00:00,40
108.18,BBG000BVMGF2,108.25,1min,108.18,108.23,2021-12-10 14:33:00+00:00,13
108.09,BBG000BVMGF2,108.09,1min,108.06,108.06,2021-12-10 14:34:00+00:00,130
108.38,BBG000BVMGF2,108.38,1min,108.14,108.16,2021-12-10 14:35:00+00:00,884
108.43,BBG000BVMGF2,108.53,1min,108.35,108.41,2021-12-10 14:36:00+00:00,554
108.53,BBG000BVMGF2,108.53,1min,108.34,108.34,2021-12-10 14:37:00+00:00,3295
108.47,BBG000BVMGF2,108.5,1min,108.47,108.5,2021-12-10 14:38:00+00:00,266
108.3,BBG000BVMGF2,108.4,1min,108.22,108.36,2021-12-10 14:39:00+00:00,1378
108.3,BBG000BVMGF2,108.38,1min,108.3,108.31,2021-12-10 14:40:00+00:00,913
108.11,BBG000BVMGF2,108.27,1min,108.11,108.24,2021-12-10 14:41:00+00:00,944
108.2,BBG000BVMGF2,108.21,1min,108.13,108.16,2021-12-10 14:42:00+00:00,361
108.3,BBG000BVMGF2,108.3,1min,108.2,108.21,2021-12-10 14:43:00+00:00,450
108.4,BBG000BVMGF2,108.4,1min,108.3,108.31,2021-12-10 14:44:00+00:00,210
108.49,BBG000BVMGF2,108.59,1min,108.45,108.45,2021-12-10 14:45:00+00:00,754
108.58,BBG000BVMGF2,108.61,1min,108.58,108.6,2021-12-10 14:46:00+00:00,124
108.54,BBG000BVMGF2,108.62,1min,108.54,108.61,2021-12-10 14:47:00+00:00,350
108.48,BBG000BVMGF2,108.56,1min,108.47,108.56,2021-12-10 14:48:00+00:00,812
108.41,BBG000BVMGF2,108.52,1min,108.41,108.5,2021-12-10 14:49:00+00:00,434
108.33,BBG000BVMGF2,108.5,1min,108.3,108.42,2021-12-10 14:50:00+00:00,629
108.3,BBG000BVMGF2,108.4,1min,108.3,108.4,2021-12-10 14:51:00+00:00,201
108.36,BBG000BVMGF2,108.36,1min,108.26,108.28,2021-12-10 14:52:00+00:00,412
108.44,BBG000BVMGF2,108.44,1min,108.33,108.33,2021-12-10 14:53:00+00:00,325
