c,figi,h,interval,l,o,time,v
109.75,BBG000BVMGF2,109.75,1min,109.75,109.75,2021-12-06 22:03:00+00:00,270
111.22,BBG000BVMGF2,111.22,1min,111.22,111.22,2021-12-07 07:06:00+00:00,1
110.71,BBG000BVMGF2,110.71,1min,110.71,110.71,2021-12-07 07:42:00+00:00,1
110.67,BBG000BVMGF2,110.67,1min,110.67,110.67,2021-12-07 07:45:00+00:00,5
110.31,BBG000BVMGF2,110.31,1min,110.31,110.31,2021-12-07 07:47:00+00:00,1
111.2,BBG000BVMGF2,111.2,1min,111.2,111.2,2021-12-07 07:50:00+00:00,2
110.81,BBG000BVMGF2,110.81,1min,110.81,110.81,2021-12-07 07:55:00+00:00,1
110.09,BBG000BVMGF2,110.09,1min,110.09,110.09,2021-12-07 08:09:00+00:00,1
110.17,BBG000BVMGF2,110.17,1min,110.17,110.17,2021-12-07 08:13:00+00:00,1
110.77,BBG000BVMGF2,110.77,1min,110.76,110.76,2021-12-07 08:15:00+00:00,2
111.35,BBG000BVMGF2,111.35,1min,111.35,111.35,2021-12-07 08:46:00+00:00,1
110.89,BBG000BVMGF2,110.89,1min,110.89,110.89,2021-12-07 09:09:00+00:00,4
110.89,BBG000BVMGF2,110.89,1min,110.89,110.89,2021-12-07 09:12:00+00:00,1
110.97,BBG000BVMGF2,110.97,1min,110.97,110.97,2021-12-07 09:22:00+00:00,1
110.95,BBG000BVMGF2,110.95,1min,110.95,110.95,2021-12-07 09:32:00+00:00,1
111.04,BBG000BVMGF2,111.04,1min,111.04,111.04,2021-12-07 10:19:00+00:00,2
110.97,BBG000BVMGF2,110.97,1min,110.97,110.97,2021-12-07 10:38:00+00:00,1
111.16,BBG000BVMGF2,111.16,1min,111.14,111.14,2021-12-07 12:00:00+00:00,3
111.16,BBG000BVMGF2,111.16,1min,111.16,111.16,2021-12-07 12:02:00+00:00,3
110.84,BBG000BVMGF2,110.84,1min,110.84,110.84,2021-12-07 12:07:00+00:00,2
110.34,BBG000BVMGF2,110.34,1min,110.34,110.34,2021-12-07 12:17:00+00:00,1
110.83,BBG000BVMGF2,110.83,1min,110.83,110.83,2021-12-07 12:28:00+00:00,2
110.84,BBG000BVMGF2,110.84,1min,110.84,110.84,2021-12-07 12:36:00+00:00,2
110.84,BBG000BVMGF2,110.84,1min,110.84,110.84,2021-12-07 12:53:00+00:00,4
110.9,BBG000BVMGF2,110.9,1min,110.9,110.9,2021-12-07 12:58:00+00:00,2
110.9,BBG000BVMGF2,110.9,1min,110.9,110.9,2021-12-07 13:07:00+00:00,1
110.84,BBG000BVMGF2,110.84,1min,110.84,110.84,2021-12-07 13:45:00+00:00,1
109.78,BBG000BVMGF2,110.9,1min,109.78,110.9,2021-12-07 13:47:00+00:00,3
