year,ticker,initBalance,finalBalance,income,orderCnt
2013,JPM,67.47,67.47,0.0,0
2018,ORCL,71.355,67.645,-5.1993553359960885,7
2015,BMY,89.145,89.145,0.0,0
2015,MU,52.86,32.7775,-37.99186530457812,1
2020,MSFT,238.5,294.74,23.580712788259973,1
2017,GILD,108.51,120.105,10.685651092065257,4
2020,XOM,105.58500000000001,105.58500000000001,0.0,0
2018,CME,219.18,235.47000000000003,7.432247467834657,3
2016,AGN,459.75,413.65,-10.027188689505167,8
2018,WMT,148.95,157.555,5.777106411547521,3
2020,AMGN,362.67,351.4599999999999,-3.0909642374610797,9
2014,AXP,136.35000000000002,148.63500000000002,9.009900990098998,1
2012,AAPL,21.93,22.01,0.364797081623351,13
2016,KO,63.510000000000005,59.28000000000001,-6.660368445914017,1
2014,AZO,716.505,729.71,1.842973880154375,1
2020,DIS,218.94,255.17000000000002,16.547912670137947,1
2020,DD,97.80000000000001,115.71000000000001,18.31288343558282,1
2014,MS,46.995,48.805,3.851473561017144,2
2012,AZO,491.58000000000004,491.58000000000004,0.0,0
2020,PGR,109.215,133.65,22.37330037082819,1
2018,AXP,149.595,136.015,-9.077843510812528,5
2020,PG,188.625,201.14999999999998,6.640159045725639,1
2014,BIDU,266.235,266.6,0.13709692564840736,1
2014,MA,125.6115,125.6115,0.0,0
2016,TSLA,69.216,75.54050000000001,9.137338187702284,13
2018,LMT,483.0,404.64,-16.223602484472053,5
2018,SO,72.15,67.33500000000001,-6.673596673596677,7
2016,MYL,79.32000000000001,77.67500000000001,-2.0738779626828006,6
2012,BAC,8.625,8.625,0.0,0
2014,DIS,114.60000000000001,126.015,9.960732984293188,1
2020,FMC,150.885,150.885,0.0,0
2013,BBY,18.21,18.21,0.0,0
2018,GOOGL,1579.8000000000002,1535.4700000000003,-2.8060513989112508,3
2013,EFX,82.47,82.47,0.0,0
2017,TSLA,64.455,65.82999999999998,2.1332712745326035,3
2013,WMB,50.114999999999995,50.114999999999995,0.0,0
2020,AAPL,109.695,168.2575,53.386663020192344,59
2012,MU,9.959999999999999,9.959999999999999,0.0,0
2020,WMB,35.64,35.64,0.0,0
