c,figi,h,interval,l,o,time,v
203.01,BBG000JG0547,203.01,1min,203.01,203.01,2022-02-17 07:46:00+00:00,1
204.36,BBG000JG0547,204.36,1min,204.36,204.36,2022-02-17 08:02:00+00:00,1
201.9,BBG000JG0547,201.96,1min,201.9,201.96,2022-02-17 10:46:00+00:00,2
202.53,BBG000JG0547,202.53,1min,202.51,202.51,2022-02-17 11:01:00+00:00,3
202.42,BBG000JG0547,202.42,1min,202.42,202.42,2022-02-17 13:28:00+00:00,1
202.76,BBG000JG0547,203.57,1min,202.56,203.39,2022-02-17 14:30:00+00:00,15548
203.27,BBG000JG0547,203.28,1min,203.24,203.24,2022-02-17 14:31:00+00:00,25
202.61,BBG000JG0547,203.09,1min,202.52,203.09,2022-02-17 14:32:00+00:00,887
202.69,BBG000JG0547,202.73,1min,202.41,202.61,2022-02-17 14:33:00+00:00,1847
202.63,BBG000JG0547,202.63,1min,202.58,202.62,2022-02-17 14:34:00+00:00,744
203.18,BBG000JG0547,203.38,1min,202.75,202.75,2022-02-17 14:35:00+00:00,883
203.16,BBG000JG0547,203.22,1min,202.88,203.09,2022-02-17 14:36:00+00:00,1397
203.14,BBG000JG0547,203.15,1min,203.02,203.1,2022-02-17 14:37:00+00:00,506
203.19,BBG000JG0547,203.19,1min,203.05,203.05,2022-02-17 14:38:00+00:00,38
203.46,BBG000JG0547,203.5,1min,203.19,203.19,2022-02-17 14:39:00+00:00,1020
203.47,BBG000JG0547,203.73,1min,203.47,203.56,2022-02-17 14:40:00+00:00,2546
202.94,BBG000JG0547,203.34,1min,202.94,203.34,2022-02-17 14:41:00+00:00,8
202.79,BBG000JG0547,202.92,1min,202.75,202.86,2022-02-17 14:42:00+00:00,1006
203.1,BBG000JG0547,203.1,1min,202.88,202.91,2022-02-17 14:43:00+00:00,634
203.13,BBG000JG0547,203.41,1min,203.13,203.14,2022-02-17 14:44:00+00:00,1418
203.03,BBG000JG0547,203.25,1min,203.03,203.23,2022-02-17 14:45:00+00:00,56
202.99,BBG000JG0547,203.15,1min,202.96,203.01,2022-02-17 14:46:00+00:00,1495
203.02,BBG000JG0547,203.02,1min,202.97,202.99,2022-02-17 14:47:00+00:00,154
202.6,BBG000JG0547,202.94,1min,202.6,202.94,2022-02-17 14:48:00+00:00,709
202.86,BBG000JG0547,202.91,1min,202.67,202.67,2022-02-17 14:49:00+00:00,668
202.8,BBG000JG0547,202.8,1min,202.78,202.78,2022-02-17 14:50:00+00:00,36
202.54,BBG000JG0547,202.7,1min,202.46,202.7,2022-02-17 14:51:00+00:00,857
202.58,BBG000JG0547,202.6,1min,202.56,202.57,2022-02-17 14:52:00+00:00,188
202.51,BBG000JG0547,202.65,1min,202.46,202.54,2022-02-17 14:53:00+00:00,1391
202.03,BBG000JG0547,202.36,1min,201.93,202.36,2022-02-17 14:54:00+00:00,2310
202.07,BBG000JG0547,202.16,1min,202.01,202.01,2022-02-17 14:55:00+00:00,1012
202.05,BBG000JG0547,202.11,1min,202.03,202.03,2022-02-17 14:56:00+00:00,191
202.03,BBG000JG0547,202.03,1min,201.81,201.95,2022-02-17 14:57:00+00:00,996
202.06,BBG000JG0547,202.13,1min,201.98,201.98,2022-02-17 14:58:00+00:00,2700
201.99,BBG000JG0547,201.99,1min,201.82,201.96,2022-02-17 14:59:00+00:00,981
201.59,BBG000JG0547,201.95,1min,201.56,201.95,2022-02-17 15:00:00+00:00,2108
201.71,BBG000JG0547,201.71,1min,201.67,201.67,2022-02-17 15:01:00+00:00,110
201.78,BBG000JG0547,201.86,1min,201.75,201.86,2022-02-17 15:02:00+00:00,1266
201.73,BBG000JG0547,201.86,1min,201.73,201.83,2022-02-17 15:03:00+00:00,310
201.66,BBG000JG0547,201.7,1min,201.5,201.7,2022-02-17 15:04:00+00:00,2572
201.47,BBG000JG0547,201.6,1min,201.47,201.6,2022-02-17 15:05:00+00:00,1590
201.79,BBG000JG0547,201.8,1min,201.58,201.58,2022-02-17 15:06:00+00:00,748
201.7,BBG000JG0547,201.7,1min,201.67,201.67,2022-02-17 15:07:00+00:00,2
201.89,BBG000JG0547,201.92,1min,201.65,201.68,2022-02-17 15:08:00+00:00,1826
201.84,BBG000JG0547,201.97,1min,201.78,201.86,2022-02-17 15:09:00+00:00,2171
201.93,BBG000JG0547,201.93,1min,201.79,201.83,2022-02-17 15:10:00+00:00,225
202.02,BBG000JG0547,202.06,1min,202.02,202.06,2022-02-17 15:11:00+00:00,621
202.13,BBG000JG0547,202.13,1min,202.03,202.04,2022-02-17 15:12:00+00:00,454
202.26,BBG000JG0547,202.26,1min,202.1,202.15,2022-02-17 15:13:00+00:00,202
202.41,BBG000JG0547,202.41,1min,202.38,202.38,2022-02-17 15:14:00+00:00,47
202.28,BBG000JG0547,202.34,1min,202.24,202.33,2022-02-17 15:15:00+00:00,1554
201.83,BBG000JG0547,202.29,1min,201.83,202.26,2022-02-17 15:16:00+00:00,2055
201.88,BBG000JG0547,201.97,1min,201.83,201.9,2022-02-17 15:18:00+00:00,834
201.85,BBG000JG0547,201.85,1min,201.82,201.83,2022-02-17 15:19:00+00:00,721
201.99,BBG000JG0547,202.04,1min,201.9,201.92,2022-02-17 15:20:00+00:00,407
201.78,BBG000JG0547,201.93,1min,201.78,201.9,2022-02-17 15:21:00+00:00,3496
201.68,BBG000JG0547,201.83,1min,201.68,201.74,2022-02-17 15:22:00+00:00,961
201.68,BBG000JG0547,201.68,1min,201.66,201.66,2022-02-17 15:23:00+00:00,211
201.72,BBG000JG0547,201.72,1min,201.67,201.67,2022-02-17 15:24:00+00:00,550
201.62,BBG000JG0547,201.74,1min,201.62,201.7,2022-02-17 15:25:00+00:00,2036
201.69,BBG000JG0547,201.69,1min,201.56,201.56,2022-02-17 15:26:00+00:00,389
201.67,BBG000JG0547,201.78,1min,201.67,201.71,2022-02-17 15:27:00+00:00,681
201.54,BBG000JG0547,201.72,1min,201.54,201.63,2022-02-17 15:28:00+00:00,2738
201.56,BBG000JG0547,201.64,1min,201.56,201.64,2022-02-17 15:29:00+00:00,122
201.43,BBG000JG0547,201.53,1min,201.36,201.53,2022-02-17 15:30:00+00:00,1316
201.56,BBG000JG0547,201.56,1min,201.44,201.44,2022-02-17 15:31:00+00:00,213
201.35,BBG000JG0547,201.45,1min,201.35,201.45,2022-02-17 15:32:00+00:00,1639
201.41,BBG000JG0547,201.41,1min,201.41,201.41,2022-02-17 15:33:00+00:00,26
201.52,BBG000JG0547,201.55,1min,201.44,201.44,2022-02-17 15:34:00+00:00,573
201.41,BBG000JG0547,201.5,1min,201.41,201.47,2022-02-17 15:35:00+00:00,1074
201.26,BBG000JG0547,201.4,1min,201.26,201.38,2022-02-17 15:36:00+00:00,513
201.28,BBG000JG0547,201.33,1min,201.23,201.31,2022-02-17 15:37:00+00:00,285
201.43,BBG000JG0547,201.43,1min,201.38,201.38,2022-02-17 15:39:00+00:00,359
201.34,BBG000JG0547,201.34,1min,201.31,201.33,2022-02-17 15:40:00+00:00,578
201.37,BBG000JG0547,201.44,1min,201.35,201.36,2022-02-17 15:41:00+00:00,236
201.39,BBG000JG0547,201.48,1min,201.39,201.46,2022-02-17 15:42:00+00:00,1429
201.44,BBG000JG0547,201.44,1min,201.44,201.44,2022-02-17 15:43:00+00:00,100
201.4,BBG000JG0547,201.47,1min,201.35,201.4,2022-02-17 15:44:00+00:00,1837
201.33,BBG000JG0547,201.48,1min,201.33,201.46,2022-02-17 15:45:00+00:00,1615
201.55,BBG000JG0547,201.78,1min,201.3,201.3,2022-02-17 15:46:00+00:00,2759
201.51,BBG000JG0547,201.51,1min,201.35,201.47,2022-02-17 15:47:00+00:00,871
201.44,BBG000JG0547,201.65,1min,201.44,201.56,2022-02-17 15:48:00+00:00,756
201.56,BBG000JG0547,201.61,1min,201.46,201.46,2022-02-17 15:49:00+00:00,614
201.56,BBG000JG0547,201.57,1min,201.48,201.57,2022-02-17 15:50:00+00:00,407
201.45,BBG000JG0547,201.56,1min,201.45,201.56,2022-02-17 15:51:00+00:00,1154
201.54,BBG000JG0547,201.55,1min,201.49,201.5,2022-02-17 15:52:00+00:00,606
201.7,BBG000JG0547,201.7,1min,201.55,201.59,2022-02-17 15:53:00+00:00,1515
201.66,BBG000JG0547,201.7,1min,201.61,201.67,2022-02-17 15:54:00+00:00,956
201.95,BBG000JG0547,201.95,1min,201.78,201.78,2022-02-17 15:55:00+00:00,147
201.63,BBG000JG0547,201.9,1min,201.63,201.9,2022-02-17 15:56:00+00:00,1970
201.7,BBG000JG0547,201.72,1min,201.65,201.69,2022-02-17 15:57:00+00:00,1130
201.76,BBG000JG0547,201.76,1min,201.71,201.71,2022-02-17 15:58:00+00:00,315
201.67,BBG000JG0547,201.78,1min,201.67,201.77,2022-02-17 15:59:00+00:00,2808
201.79,BBG000JG0547,201.79,1min,201.67,201.67,2022-02-17 16:00:00+00:00,761
201.92,BBG000JG0547,201.94,1min,201.83,201.83,2022-02-17 16:01:00+00:00,1495
202.02,BBG000JG0547,202.02,1min,201.92,201.92,2022-02-17 16:02:00+00:00,179
201.87,BBG000JG0547,202.02,1min,201.87,202.01,2022-02-17 16:03:00+00:00,558
201.77,BBG000JG0547,201.79,1min,201.77,201.78,2022-02-17 16:04:00+00:00,534
201.87,BBG000JG0547,201.87,1min,201.77,201.77,2022-02-17 16:05:00+00:00,244
201.81,BBG000JG0547,201.96,1min,201.81,201.82,2022-02-17 16:06:00+00:00,1195
201.83,BBG000JG0547,201.85,1min,201.83,201.84,2022-02-17 16:07:00+00:00,107
201.64,BBG000JG0547,201.88,1min,201.64,201.83,2022-02-17 16:08:00+00:00,1690
201.57,BBG000JG0547,201.65,1min,201.57,201.6,2022-02-17 16:09:00+00:00,287
201.59,BBG000JG0547,201.6,1min,201.54,201.54,2022-02-17 16:10:00+00:00,1037
201.63,BBG000JG0547,201.68,1min,201.55,201.59,2022-02-17 16:11:00+00:00,1692
201.73,BBG000JG0547,201.73,1min,201.69,201.69,2022-02-17 16:12:00+00:00,4
201.73,BBG000JG0547,201.81,1min,201.68,201.77,2022-02-17 16:13:00+00:00,355
201.73,BBG000JG0547,201.85,1min,201.69,201.85,2022-02-17 16:14:00+00:00,591
201.66,BBG000JG0547,201.75,1min,201.66,201.75,2022-02-17 16:15:00+00:00,333
201.82,BBG000JG0547,201.83,1min,201.7,201.71,2022-02-17 16:16:00+00:00,294
201.78,BBG000JG0547,201.91,1min,201.78,201.84,2022-02-17 16:17:00+00:00,1291
201.71,BBG000JG0547,201.84,1min,201.71,201.77,2022-02-17 16:18:00+00:00,1100
