c,figi,h,interval,l,o,time,v
201.4,BBG000JG0547,201.4,1min,201.4,201.4,2022-02-18 13:31:00+00:00,1
201.36,BBG000JG0547,201.36,1min,201.36,201.36,2022-02-18 14:02:00+00:00,1
201.76,BBG000JG0547,201.76,1min,201.76,201.76,2022-02-18 14:25:00+00:00,1
200.95,BBG000JG0547,200.95,1min,200.95,200.95,2022-02-18 14:27:00+00:00,50
200.03,BBG000JG0547,200.4,1min,200.03,200.31,2022-02-18 14:29:00+00:00,878
200.88,BBG000JG0547,201,1min,200.0,200.16,2022-02-18 14:30:00+00:00,89268
200.84,BBG000JG0547,200.84,1min,200.55,200.82,2022-02-18 14:31:00+00:00,736
200.72,BBG000JG0547,200.86,1min,200.46,200.81,2022-02-18 14:32:00+00:00,918
200.72,BBG000JG0547,200.79,1min,200.61,200.76,2022-02-18 14:33:00+00:00,300
200.85,BBG000JG0547,200.91,1min,200.74,200.74,2022-02-18 14:34:00+00:00,225
200.84,BBG000JG0547,200.93,1min,200.69,200.69,2022-02-18 14:35:00+00:00,835
201.11,BBG000JG0547,201.11,1min,200.85,200.85,2022-02-18 14:36:00+00:00,821
201.18,BBG000JG0547,201.22,1min,201.04,201.07,2022-02-18 14:37:00+00:00,845
201.5,BBG000JG0547,201.7,1min,201.15,201.15,2022-02-18 14:38:00+00:00,710
201.3,BBG000JG0547,201.51,1min,201.3,201.51,2022-02-18 14:39:00+00:00,790
200.9,BBG000JG0547,201.26,1min,200.9,201.23,2022-02-18 14:40:00+00:00,581
200.88,BBG000JG0547,200.88,1min,200.66,200.86,2022-02-18 14:41:00+00:00,673
200.87,BBG000JG0547,201.06,1min,200.77,200.77,2022-02-18 14:42:00+00:00,860
200.85,BBG000JG0547,200.96,1min,200.75,200.77,2022-02-18 14:43:00+00:00,1983
200.88,BBG000JG0547,200.9,1min,200.78,200.78,2022-02-18 14:44:00+00:00,492
201.03,BBG000JG0547,201.12,1min,200.88,200.9,2022-02-18 14:45:00+00:00,1714
200.85,BBG000JG0547,201.12,1min,200.85,201.04,2022-02-18 14:46:00+00:00,770
201.01,BBG000JG0547,201.14,1min,200.81,200.89,2022-02-18 14:47:00+00:00,722
200.66,BBG000JG0547,200.99,1min,200.66,200.99,2022-02-18 14:48:00+00:00,1901
200.78,BBG000JG0547,200.78,1min,200.54,200.56,2022-02-18 14:49:00+00:00,1128
200.43,BBG000JG0547,200.72,1min,200.43,200.72,2022-02-18 14:50:00+00:00,1810
200.34,BBG000JG0547,200.48,1min,200.33,200.48,2022-02-18 14:51:00+00:00,541
200.28,BBG000JG0547,200.34,1min,200.22,200.27,2022-02-18 14:52:00+00:00,1370
200.69,BBG000JG0547,200.69,1min,200.28,200.28,2022-02-18 14:53:00+00:00,1820
200.75,BBG000JG0547,200.81,1min,200.67,200.74,2022-02-18 14:54:00+00:00,1037
200.5,BBG000JG0547,200.82,1min,200.5,200.78,2022-02-18 14:55:00+00:00,2189
200.59,BBG000JG0547,200.69,1min,200.45,200.51,2022-02-18 14:56:00+00:00,1267
200.93,BBG000JG0547,200.93,1min,200.6,200.61,2022-02-18 14:57:00+00:00,2014
201.13,BBG000JG0547,201.13,1min,200.94,200.94,2022-02-18 14:58:00+00:00,192
201.15,BBG000JG0547,201.15,1min,200.99,201.14,2022-02-18 14:59:00+00:00,902
201.33,BBG000JG0547,201.33,1min,201.09,201.09,2022-02-18 15:00:00+00:00,770
201.49,BBG000JG0547,201.57,1min,201.32,201.32,2022-02-18 15:01:00+00:00,413
