c,figi,h,interval,l,o,time,v
314.68,BBG000C101X4,314.68,1min,314.68,314.68,2021-12-03 08:00:00+00:00,1
310.84,BBG000C101X4,310.97,1min,310.84,310.97,2021-12-03 10:42:00+00:00,9
313.5,BBG000C101X4,313.5,1min,313.5,313.5,2021-12-03 12:47:00+00:00,1
318.74,BBG000C101X4,318.74,1min,318.74,318.74,2021-12-03 14:25:00+00:00,10
317.91,BBG000C101X4,317.91,1min,314.35,314.35,2021-12-03 14:30:00+00:00,1177
312.71,BBG000C101X4,312.71,1min,312.71,312.71,2021-12-03 14:31:00+00:00,1
316.78,BBG000C101X4,316.78,1min,316.78,316.78,2021-12-03 14:33:00+00:00,3
312.81,BBG000C101X4,312.81,1min,312.81,312.81,2021-12-03 14:36:00+00:00,34
314.43,BBG000C101X4,314.43,1min,314.43,314.43,2021-12-03 14:37:00+00:00,1
314.73,BBG000C101X4,314.73,1min,314.73,314.73,2021-12-03 14:38:00+00:00,2
312.7,BBG000C101X4,314.8,1min,312.7,314.8,2021-12-03 14:39:00+00:00,166
313.15,BBG000C101X4,313.15,1min,313.15,313.15,2021-12-03 14:41:00+00:00,2
311.06,BBG000C101X4,312.63,1min,311.06,312.63,2021-12-03 14:42:00+00:00,27
310.78,BBG000C101X4,310.78,1min,310.28,310.28,2021-12-03 14:43:00+00:00,11
310.28,BBG000C101X4,310.28,1min,310.28,310.28,2021-12-03 14:44:00+00:00,25
310.1,BBG000C101X4,310.1,1min,308.12,309.97,2021-12-03 14:46:00+00:00,105
309.69,BBG000C101X4,309.69,1min,308.73,308.74,2021-12-03 14:50:00+00:00,555
309.68,BBG000C101X4,309.68,1min,309.68,309.68,2021-12-03 14:51:00+00:00,3
309.68,BBG000C101X4,309.68,1min,309.18,309.18,2021-12-03 14:52:00+00:00,4
307.76,BBG000C101X4,309.2,1min,307.62,309.2,2021-12-03 14:54:00+00:00,226
308.11,BBG000C101X4,308.11,1min,307.96,307.96,2021-12-03 14:55:00+00:00,42
308.14,BBG000C101X4,308.69,1min,308.14,308.65,2021-12-03 14:56:00+00:00,108
309.02,BBG000C101X4,309.02,1min,309.02,309.02,2021-12-03 14:58:00+00:00,10
308.45,BBG000C101X4,308.45,1min,308.29,308.29,2021-12-03 15:00:00+00:00,5
306.64,BBG000C101X4,307.63,1min,306.64,307.62,2021-12-03 15:01:00+00:00,277
307.4,BBG000C101X4,307.4,1min,306.89,306.89,2021-12-03 15:02:00+00:00,237
307.13,BBG000C101X4,307.13,1min,307.13,307.13,2021-12-03 15:03:00+00:00,20
307.16,BBG000C101X4,307.23,1min,307.16,307.16,2021-12-03 15:04:00+00:00,17
307.4,BBG000C101X4,307.4,1min,307.4,307.4,2021-12-03 15:05:00+00:00,2
307.63,BBG000C101X4,307.63,1min,307.11,307.11,2021-12-03 15:06:00+00:00,5
308.62,BBG000C101X4,308.62,1min,307.76,307.76,2021-12-03 15:07:00+00:00,196
307.5,BBG000C101X4,308.15,1min,307.5,308.15,2021-12-03 15:09:00+00:00,225
307,BBG000C101X4,307,1min,307,307,2021-12-03 15:10:00+00:00,4
306.63,BBG000C101X4,307.01,1min,306.63,307.01,2021-12-03 15:11:00+00:00,31
