c,figi,h,interval,l,o,time,v
301.49,BBG000C101X4,301.49,1min,301.49,301.49,2021-12-06 07:06:00+00:00,1
304.5,BBG000C101X4,304.5,1min,304.5,304.5,2021-12-06 07:23:00+00:00,1
302.4,BBG000C101X4,302.4,1min,302.4,302.4,2021-12-06 07:42:00+00:00,1
305.46,BBG000C101X4,305.46,1min,305.46,305.46,2021-12-06 07:52:00+00:00,3
304.47,BBG000C101X4,304.47,1min,304.47,304.47,2021-12-06 08:24:00+00:00,1
304.11,BBG000C101X4,304.11,1min,304.11,304.11,2021-12-06 10:43:00+00:00,1
303.89,BBG000C101X4,303.89,1min,303.89,303.89,2021-12-06 11:36:00+00:00,1
303.04,BBG000C101X4,303.04,1min,303.04,303.04,2021-12-06 12:10:00+00:00,1
303,BBG000C101X4,303,1min,303,303,2021-12-06 12:25:00+00:00,1
303,BBG000C101X4,303,1min,303,303,2021-12-06 12:48:00+00:00,9
302.5,BBG000C101X4,302.5,1min,302.5,302.5,2021-12-06 12:49:00+00:00,9
300.89,BBG000C101X4,302.45,1min,300.89,302.45,2021-12-06 14:30:00+00:00,1579
300.49,BBG000C101X4,301.2,1min,300.0,301.2,2021-12-06 14:34:00+00:00,393
299,BBG000C101X4,299.31,1min,299,299.31,2021-12-06 14:35:00+00:00,184
299.01,BBG000C101X4,300.54,1min,299.01,300.54,2021-12-06 14:36:00+00:00,102
298.86,BBG000C101X4,299.67,1min,298.86,299.65,2021-12-06 14:37:00+00:00,211
298.69,BBG000C101X4,299.66,1min,297.99,299.66,2021-12-06 14:38:00+00:00,598
298.89,BBG000C101X4,298.89,1min,297.9,298.29,2021-12-06 14:41:00+00:00,8
301.11,BBG000C101X4,301.11,1min,298.91,298.91,2021-12-06 14:42:00+00:00,223
301.53,BBG000C101X4,301.53,1min,301.53,301.53,2021-12-06 14:43:00+00:00,26
302.92,BBG000C101X4,303.03,1min,302.13,302.28,2021-12-06 14:45:00+00:00,5
301.29,BBG000C101X4,301.29,1min,301.29,301.29,2021-12-06 14:46:00+00:00,44
303.03,BBG000C101X4,303.03,1min,303.03,303.03,2021-12-06 14:47:00+00:00,4
302.74,BBG000C101X4,303.21,1min,302.74,303.21,2021-12-06 14:48:00+00:00,6
302.22,BBG000C101X4,302.22,1min,302.22,302.22,2021-12-06 14:49:00+00:00,3
301.86,BBG000C101X4,301.86,1min,301.86,301.86,2021-12-06 14:50:00+00:00,2
303.86,BBG000C101X4,303.87,1min,302.5,302.75,2021-12-06 14:51:00+00:00,168
302.73,BBG000C101X4,303.63,1min,302.38,303.63,2021-12-06 14:53:00+00:00,739
301.7,BBG000C101X4,301.7,1min,301.7,301.7,2021-12-06 14:54:00+00:00,100
302.2,BBG000C101X4,302.24,1min,301.85,301.85,2021-12-06 14:55:00+00:00,2055
302.02,BBG000C101X4,302.13,1min,301.33,301.43,2021-12-06 14:56:00+00:00,1068
302.04,BBG000C101X4,302.43,1min,301.06,302.11,2021-12-06 14:57:00+00:00,2054
302.34,BBG000C101X4,302.42,1min,301.8,302.21,2021-12-06 14:58:00+00:00,761
302.11,BBG000C101X4,302.67,1min,301.54,302.67,2021-12-06 14:59:00+00:00,1500
301.38,BBG000C101X4,301.97,1min,301.37,301.78,2021-12-06 15:00:00+00:00,170
300.34,BBG000C101X4,301.53,1min,300.34,301.53,2021-12-06 15:01:00+00:00,961
300.98,BBG000C101X4,301.58,1min,300.49,300.49,2021-12-06 15:02:00+00:00,1957
301.76,BBG000C101X4,301.76,1min,301.66,301.66,2021-12-06 15:04:00+00:00,134
303.08,BBG000C101X4,303.08,1min,301.99,301.99,2021-12-06 15:05:00+00:00,254
303.53,BBG000C101X4,303.53,1min,303.53,303.53,2021-12-06 15:06:00+00:00,3
302.75,BBG000C101X4,303.32,1min,302.46,302.88,2021-12-06 15:07:00+00:00,301
302.69,BBG000C101X4,302.69,1min,302.69,302.69,2021-12-06 15:08:00+00:00,1
303.43,BBG000C101X4,303.43,1min,302.69,302.69,2021-12-06 15:09:00+00:00,9
303.47,BBG000C101X4,303.47,1min,303.43,303.43,2021-12-06 15:10:00+00:00,10
303.35,BBG000C101X4,304.32,1min,303.18,303.48,2021-12-06 15:11:00+00:00,725
304.1,BBG000C101X4,304.1,1min,303.64,303.64,2021-12-06 15:13:00+00:00,28
