c,figi,h,interval,l,o,time,v
319.17,BBG000C101X4,319.17,1min,319.17,319.17,2021-12-01 07:10:00+00:00,1
315.5,BBG000C101X4,316.5,1min,315.5,316.5,2021-12-01 08:11:00+00:00,2
316.33,BBG000C101X4,316.33,1min,316.33,316.33,2021-12-01 09:44:00+00:00,1
318.64,BBG000C101X4,318.64,1min,318.63,318.63,2021-12-01 11:38:00+00:00,2
316.37,BBG000C101X4,316.37,1min,316.37,316.37,2021-12-01 12:00:00+00:00,2
316.59,BBG000C101X4,316.59,1min,316.59,316.59,2021-12-01 12:23:00+00:00,1
318.41,BBG000C101X4,318.41,1min,318.41,318.41,2021-12-01 14:15:00+00:00,1
318.3,BBG000C101X4,318.3,1min,318.3,318.3,2021-12-01 14:29:00+00:00,200
324.69,BBG000C101X4,324.69,1min,317.17,317.17,2021-12-01 14:30:00+00:00,2706
324.26,BBG000C101X4,324.54,1min,318.95,322.87,2021-12-01 14:31:00+00:00,225
324.14,BBG000C101X4,324.24,1min,322.43,324,2021-12-01 14:32:00+00:00,70
321.36,BBG000C101X4,321.36,1min,319.05,320.0,2021-12-01 14:33:00+00:00,27
320.8,BBG000C101X4,320.8,1min,320.6,320.6,2021-12-01 14:34:00+00:00,40
318.86,BBG000C101X4,319.05,1min,318.86,319.05,2021-12-01 14:35:00+00:00,41
317.37,BBG000C101X4,318.63,1min,317.37,318.63,2021-12-01 14:36:00+00:00,377
317.16,BBG000C101X4,317.63,1min,317.16,317.63,2021-12-01 14:37:00+00:00,1100
316.44,BBG000C101X4,316.44,1min,316.44,316.44,2021-12-01 14:39:00+00:00,5
315.44,BBG000C101X4,315.44,1min,315.44,315.44,2021-12-01 14:40:00+00:00,2
316,BBG000C101X4,316.32,1min,315,316.32,2021-12-01 14:42:00+00:00,497
315.45,BBG000C101X4,315.46,1min,315.02,315.02,2021-12-01 14:43:00+00:00,629
314.78,BBG000C101X4,315.51,1min,314.78,315.51,2021-12-01 14:48:00+00:00,373
314.71,BBG000C101X4,314.73,1min,314.71,314.73,2021-12-01 14:49:00+00:00,5
315.38,BBG000C101X4,315.38,1min,315.15,315.15,2021-12-01 14:50:00+00:00,61
315.36,BBG000C101X4,315.36,1min,315.36,315.36,2021-12-01 14:51:00+00:00,25
318.29,BBG000C101X4,318.29,1min,315.14,315.39,2021-12-01 14:53:00+00:00,455
316.94,BBG000C101X4,317.81,1min,316.94,317.78,2021-12-01 14:54:00+00:00,457
318.16,BBG000C101X4,318.16,1min,316.43,316.78,2021-12-01 14:57:00+00:00,842
316.23,BBG000C101X4,317.94,1min,316.22,317.16,2021-12-01 14:59:00+00:00,669
315.12,BBG000C101X4,315.12,1min,315.12,315.12,2021-12-01 15:00:00+00:00,16
316.35,BBG000C101X4,316.73,1min,315.45,315.45,2021-12-01 15:01:00+00:00,493
316.62,BBG000C101X4,316.62,1min,316.62,316.62,2021-12-01 15:02:00+00:00,25
316.6,BBG000C101X4,317.47,1min,316.02,317.47,2021-12-01 15:03:00+00:00,143
317.46,BBG000C101X4,317.46,1min,316.89,316.89,2021-12-01 15:05:00+00:00,313
318.46,BBG000C101X4,318.56,1min,317.74,317.74,2021-12-01 15:06:00+00:00,173
319.07,BBG000C101X4,319.07,1min,318.57,318.72,2021-12-01 15:07:00+00:00,118
319.8,BBG000C101X4,319.87,1min,319.06,319.07,2021-12-01 15:08:00+00:00,260
319.8,BBG000C101X4,319.8,1min,319.44,319.44,2021-12-01 15:09:00+00:00,112
319.6,BBG000C101X4,320.0,1min,319.6,320.0,2021-12-01 15:10:00+00:00,150
318.88,BBG000C101X4,319.45,1min,318.88,319.45,2021-12-01 15:11:00+00:00,248
318.68,BBG000C101X4,318.68,1min,318.68,318.68,2021-12-01 15:13:00+00:00,1
317.88,BBG000C101X4,318.04,1min,317.85,318.04,2021-12-01 15:14:00+00:00,167
317.29,BBG000C101X4,317.29,1min,317.29,317.29,2021-12-01 15:15:00+00:00,17
318.52,BBG000C101X4,318.52,1min,317.96,317.96,2021-12-01 15:16:00+00:00,614
319.1,BBG000C101X4,319.1,1min,318.47,318.47,2021-12-01 15:17:00+00:00,390
318.89,BBG000C101X4,318.89,1min,318.89,318.89,2021-12-01 15:19:00+00:00,1
318.96,BBG000C101X4,319.45,1min,318.96,319.45,2021-12-01 15:21:00+00:00,23
317.94,BBG000C101X4,318.54,1min,317.94,318.54,2021-12-01 15:22:00+00:00,385
317.59,BBG000C101X4,317.76,1min,317.59,317.76,2021-12-01 15:24:00+00:00,12
318.54,BBG000C101X4,318.54,1min,317.89,317.89,2021-12-01 15:25:00+00:00,576
318.54,BBG000C101X4,318.54,1min,318.51,318.51,2021-12-01 15:26:00+00:00,312
318.24,BBG000C101X4,318.54,1min,318.24,318.52,2021-12-01 15:27:00+00:00,144
317.26,BBG000C101X4,317.93,1min,317.26,317.93,2021-12-01 15:29:00+00:00,60
317.58,BBG000C101X4,317.58,1min,316.57,316.57,2021-12-01 15:31:00+00:00,521
316.92,BBG000C101X4,317.88,1min,316.92,317.22,2021-12-01 15:33:00+00:00,110
317.13,BBG000C101X4,317.13,1min,317.13,317.13,2021-12-01 15:34:00+00:00,100
316.45,BBG000C101X4,316.45,1min,316.45,316.45,2021-12-01 15:35:00+00:00,1
316.37,BBG000C101X4,316.37,1min,316.37,316.37,2021-12-01 15:36:00+00:00,1
315.98,BBG000C101X4,316.18,1min,315.93,316.1,2021-12-01 15:37:00+00:00,72
316.64,BBG000C101X4,316.64,1min,316.16,316.16,2021-12-01 15:38:00+00:00,489
315.79,BBG000C101X4,316.58,1min,315.79,316.57,2021-12-01 15:39:00+00:00,327
315.1,BBG000C101X4,315.58,1min,315.1,315.58,2021-12-01 15:40:00+00:00,108
315.64,BBG000C101X4,315.64,1min,314.88,314.88,2021-12-01 15:41:00+00:00,356
315.02,BBG000C101X4,315.64,1min,315.02,315.64,2021-12-01 15:42:00+00:00,131
315.25,BBG000C101X4,315.26,1min,314.91,315.06,2021-12-01 15:43:00+00:00,566
315.03,BBG000C101X4,315.23,1min,315.03,315.23,2021-12-01 15:44:00+00:00,12
315.57,BBG000C101X4,315.57,1min,315.55,315.55,2021-12-01 15:45:00+00:00,13
316.6,BBG000C101X4,316.6,1min,315.44,315.58,2021-12-01 15:46:00+00:00,792
317.47,BBG000C101X4,317.47,1min,317.24,317.24,2021-12-01 15:47:00+00:00,6
316.69,BBG000C101X4,317.15,1min,316.69,317.15,2021-12-01 15:48:00+00:00,177
317.13,BBG000C101X4,317.13,1min,317.13,317.13,2021-12-01 15:50:00+00:00,4
316.79,BBG000C101X4,316.79,1min,316.79,316.79,2021-12-01 15:51:00+00:00,1
317.27,BBG000C101X4,317.27,1min,317.08,317.08,2021-12-01 15:52:00+00:00,234
317.48,BBG000C101X4,317.48,1min,317.4,317.4,2021-12-01 15:53:00+00:00,2
316.89,BBG000C101X4,317.15,1min,316.89,317.15,2021-12-01 15:54:00+00:00,62
317.31,BBG000C101X4,317.31,1min,317.23,317.23,2021-12-01 15:58:00+00:00,36
316.9,BBG000C101X4,317.37,1min,316.9,317.28,2021-12-01 15:59:00+00:00,634
317.22,BBG000C101X4,317.4,1min,317.22,317.38,2021-12-01 16:00:00+00:00,24
317.2,BBG000C101X4,317.56,1min,317.2,317.54,2021-12-01 16:01:00+00:00,334
316.72,BBG000C101X4,317,1min,316.72,317,2021-12-01 16:02:00+00:00,11
317.08,BBG000C101X4,317.45,1min,316.66,316.66,2021-12-01 16:03:00+00:00,89
317.13,BBG000C101X4,317.16,1min,317.13,317.16,2021-12-01 16:05:00+00:00,3
317.45,BBG000C101X4,317.45,1min,316.91,316.91,2021-12-01 16:06:00+00:00,5
317.16,BBG000C101X4,317.54,1min,316.94,317.22,2021-12-01 16:07:00+00:00,38
317.22,BBG000C101X4,317.55,1min,317.2,317.2,2021-12-01 16:08:00+00:00,361
317.32,BBG000C101X4,317.33,1min,317.15,317.33,2021-12-01 16:09:00+00:00,5
317.29,BBG000C101X4,317.58,1min,317.29,317.31,2021-12-01 16:10:00+00:00,515
317.28,BBG000C101X4,317.28,1min,317.28,317.28,2021-12-01 16:11:00+00:00,9
317.54,BBG000C101X4,317.54,1min,317.28,317.28,2021-12-01 16:12:00+00:00,12
317.92,BBG000C101X4,317.92,1min,317.56,317.56,2021-12-01 16:13:00+00:00,366
318.19,BBG000C101X4,318.19,1min,318.16,318.16,2021-12-01 16:14:00+00:00,41
317.63,BBG000C101X4,317.95,1min,317.63,317.95,2021-12-01 16:15:00+00:00,309
318,BBG000C101X4,318.16,1min,317.56,317.56,2021-12-01 16:17:00+00:00,186
318,BBG000C101X4,318,1min,318,318,2021-12-01 16:18:00+00:00,41
317.92,BBG000C101X4,317.98,1min,317.92,317.98,2021-12-01 16:19:00+00:00,11
317.96,BBG000C101X4,317.96,1min,317.96,317.96,2021-12-01 16:20:00+00:00,4
317.9,BBG000C101X4,317.9,1min,317.9,317.9,2021-12-01 16:21:00+00:00,14
317.86,BBG000C101X4,317.86,1min,317.86,317.86,2021-12-01 16:22:00+00:00,30
317.58,BBG000C101X4,318.11,1min,317.55,318.08,2021-12-01 16:23:00+00:00,350
317.65,BBG000C101X4,317.65,1min,317.65,317.65,2021-12-01 16:25:00+00:00,5
317.58,BBG000C101X4,317.58,1min,317.36,317.36,2021-12-01 16:26:00+00:00,34
317.14,BBG000C101X4,317.39,1min,316.98,317.39,2021-12-01 16:27:00+00:00,69
317.19,BBG000C101X4,317.19,1min,317,317.14,2021-12-01 16:28:00+00:00,162
316.98,BBG000C101X4,316.99,1min,316.98,316.99,2021-12-01 16:29:00+00:00,105
316.8,BBG000C101X4,316.9,1min,316.45,316.9,2021-12-01 16:30:00+00:00,285
316.16,BBG000C101X4,316.24,1min,316.16,316.24,2021-12-01 16:31:00+00:00,6
316.93,BBG000C101X4,317.12,1min,316.76,316.76,2021-12-01 16:32:00+00:00,461
317.55,BBG000C101X4,317.55,1min,317.14,317.14,2021-12-01 16:33:00+00:00,252
317.15,BBG000C101X4,317.15,1min,317.15,317.15,2021-12-01 16:34:00+00:00,4
317.28,BBG000C101X4,317.46,1min,317.28,317.29,2021-12-01 16:35:00+00:00,28
317.45,BBG000C101X4,317.45,1min,317.11,317.3,2021-12-01 16:37:00+00:00,38
