operationType,price,balance,date
BUY,323.625,176.47499999999997,2016-03-07
SELL,323.625,500.09999999999997,2016-03-07
BUY,323.625,176.47499999999997,2016-03-07
SELL,334.825,511.29999999999995,2016-03-11
BUY,338.08500000000004,173.21499999999992,2016-03-17
SELL,343.385,516.5999999999999,2016-03-18
BUY,342.375,174.2249999999999,2016-03-21
SELL,342.5,516.7249999999999,2016-03-30
BUY,335.79999999999995,180.92499999999995,2016-04-06
SELL,348.95500000000004,529.88,2016-04-14
BUY,340.94,188.94,2016-06-15
SELL,334.82,523.76,2016-06-24
BUY,353.735,170.02499999999998,2016-07-12
SELL,354.845,524.87,2016-07-14
BUY,371.725,153.14499999999998,2016-08-22
SELL,372.97,526.115,2016-08-29
BUY,363.24,162.875,2016-09-13
SELL,358.615,521.49,2016-09-29
BUY,357.935,163.555,2016-10-05
SELL,356.04499999999996,519.5999999999999,2016-10-18
BUY,350.89,168.70999999999992,2016-10-20
SELL,339.735,508.44499999999994,2016-11-02
BUY,377.115,131.32999999999993,2016-12-07
SELL,392.28,523.6099999999999,2016-12-12
BUY,390.61,132.9999999999999,2016-12-14
SELL,396.17499999999995,529.1749999999998,2016-12-21
