operationType,price,balance,date
BUY,128.28,82.67999999999998,2018-01-22
SELL,129.07999999999998,211.75999999999996,2018-01-31
BUY,108.64,103.11999999999996,2018-03-22
SELL,104.68,207.79999999999995,2018-03-26
BUY,109.4,98.39999999999995,2018-03-29
SELL,106.47999999999999,204.87999999999994,2018-04-05
BUY,108.92,95.95999999999994,2018-04-17
SELL,110.32,206.27999999999992,2018-04-18
BUY,111.2,95.07999999999991,2018-04-19
SELL,123.16,218.2399999999999,2018-05-22
BUY,102.84,115.39999999999989,2018-06-20
BUY,102.44,12.959999999999894,2018-06-21
SELL,108.80000000000001,121.7599999999999,2018-06-26
SELL,112.185,233.9449999999999,2018-07-11
BUY,107.36,126.58499999999991,2018-07-20
BUY,104.16,22.424999999999912,2018-07-24
SELL,104.96000000000001,127.38499999999992,2018-08-08
BUY,101.0,26.38499999999992,2018-09-14
SELL,98.12,124.50499999999992,2018-10-02
SELL,107.24,231.74499999999992,2018-10-10
BUY,74.56,157.18499999999992,2018-11-07
BUY,68.19999999999999,88.98499999999993,2018-11-14
BUY,68.19999999999999,20.78499999999994,2018-11-14
SELL,63.239999999999995,84.02499999999993,2018-11-19
SELL,61.56,145.58499999999992,2018-11-26
SELL,60.88,206.46499999999992,2018-11-28
BUY,58.68,147.7849999999999,2018-12-06
SELL,55.599999999999994,203.3849999999999,2018-12-13
