operationType,price,balance,date
BUY,79.955,30.67,2019-01-18
SELL,83.325,113.995,2019-03-22
BUY,82.85,31.14500000000001,2019-05-09
SELL,83.15,114.29500000000002,2019-06-27
BUY,87.475,26.82000000000002,2019-07-26
