operationType,price,balance,date
BUY,187.155,98.31000000000003,2020-01-07
SELL,187.07999999999998,285.39,2020-01-08
BUY,187.07999999999998,98.31,2020-01-08
SELL,187.07999999999998,285.39,2020-01-08
BUY,187.07999999999998,98.31,2020-01-08
SELL,192.91500000000002,291.225,2020-01-09
BUY,188.86,102.36500000000001,2020-01-13
SELL,191.02499999999998,293.39,2020-01-15
BUY,191.345,102.04499999999999,2020-01-22
SELL,191.345,293.39,2020-01-22
BUY,191.345,102.04499999999999,2020-01-30
SELL,188.86,290.905,2020-02-03
