operationType,price,balance,date
BUY,43.120000000000005,20.689999999999998,2018-01-02
SELL,43.365,64.055,2018-01-03
BUY,43.365,20.690000000000005,2018-01-03
SELL,43.365,64.055,2018-01-03
BUY,43.2,20.855000000000004,2018-01-04
SELL,43.2,64.055,2018-01-04
BUY,43.2,20.855000000000004,2018-01-04
SELL,43.555,64.41,2018-01-05
BUY,43.59,20.819999999999993,2018-01-08
SELL,43.59,64.41,2018-01-08
BUY,43.59,20.819999999999993,2018-01-08
SELL,43.61,64.42999999999999,2018-01-09
BUY,43.61,20.819999999999993,2018-01-09
SELL,43.43,64.25,2018-01-10
BUY,44.385000000000005,19.864999999999995,2018-01-12
SELL,44.385000000000005,64.25,2018-01-12
BUY,44.489999999999995,19.760000000000005,2018-01-16
SELL,44.59,64.35000000000001,2018-01-17
BUY,44.59,19.760000000000005,2018-01-17
SELL,44.59,64.35000000000001,2018-01-17
BUY,44.59,19.760000000000005,2018-01-17
SELL,44.83,64.59,2018-01-18
BUY,44.83,19.760000000000005,2018-01-18
SELL,44.83,64.59,2018-01-18
BUY,44.83,19.760000000000005,2018-01-18
SELL,44.635,64.39500000000001,2018-01-19
BUY,44.635,19.760000000000012,2018-01-19
SELL,44.29,64.05000000000001,2018-01-22
BUY,44.29,19.760000000000012,2018-01-22
SELL,42.94,62.70000000000001,2018-01-26
BUY,42.94,19.760000000000012,2018-01-26
SELL,42.265,62.02500000000001,2018-01-29
BUY,41.754999999999995,20.270000000000017,2018-01-30
SELL,41.754999999999995,62.02500000000001,2018-01-30
BUY,41.754999999999995,20.270000000000017,2018-01-30
SELL,41.754999999999995,62.02500000000001,2018-01-30
BUY,41.72,20.305000000000014,2018-01-31
SELL,41.72,62.02500000000001,2018-01-31
BUY,41.72,20.305000000000014,2018-01-31
SELL,41.72,62.02500000000001,2018-01-31
BUY,41.72,20.305000000000014,2018-01-31
SELL,42.65,62.95500000000001,2018-02-01
BUY,42.65,20.305000000000014,2018-02-01
SELL,42.65,62.95500000000001,2018-02-01
BUY,42.65,20.305000000000014,2018-02-01
SELL,42.65,62.95500000000001,2018-02-01
BUY,40.3,22.655000000000015,2018-02-02
SELL,40.3,62.95500000000001,2018-02-02
BUY,40.3,22.655000000000015,2018-02-02
SELL,41.195,63.850000000000016,2018-02-13
BUY,41.195,22.655000000000015,2018-02-13
SELL,43.03,65.68500000000002,2018-02-20
BUY,42.99,22.695000000000014,2018-02-21
SELL,44.82,67.51500000000001,2018-02-26
BUY,44.82,22.695000000000014,2018-02-26
SELL,44.82,67.51500000000001,2018-02-26
BUY,44.82,22.695000000000014,2018-02-26
SELL,43.765,66.46000000000001,2018-03-07
BUY,44.06999999999999,22.390000000000015,2018-03-08
SELL,44.92,67.31000000000002,2018-03-14
BUY,44.92,22.390000000000015,2018-03-14
SELL,44.655,67.04500000000002,2018-03-15
BUY,44.599999999999994,22.44500000000002,2018-03-16
SELL,41.715,64.16000000000003,2018-04-02
BUY,42.09,22.07000000000002,2018-04-04
SELL,42.405,64.47500000000002,2018-04-06
BUY,42.535,21.940000000000026,2018-04-09
SELL,43.21,65.15000000000003,2018-04-10
BUY,43.21,21.940000000000033,2018-04-10
SELL,43.695,65.63500000000003,2018-04-13
BUY,43.995000000000005,21.64000000000003,2018-04-16
SELL,44.364999999999995,66.00500000000002,2018-04-17
BUY,42.525,23.480000000000025,2018-04-20
SELL,41.525,65.00500000000002,2018-04-23
BUY,41.114999999999995,23.89000000000003,2018-04-24
SELL,41.114999999999995,65.00500000000002,2018-04-24
BUY,40.845,24.160000000000025,2018-04-25
SELL,41.36,65.52000000000002,2018-04-26
BUY,41.15,24.370000000000026,2018-04-30
SELL,41.15,65.52000000000002,2018-04-30
BUY,41.15,24.370000000000026,2018-04-30
SELL,44.465,68.83500000000004,2018-05-02
BUY,44.465,24.370000000000033,2018-05-02
SELL,44.465,68.83500000000004,2018-05-02
BUY,44.415,24.420000000000037,2018-05-03
SELL,44.415,68.83500000000004,2018-05-03
BUY,44.415,24.420000000000037,2018-05-03
SELL,45.385000000000005,69.80500000000004,2018-05-04
BUY,45.385000000000005,24.42000000000003,2018-05-04
SELL,46.22,70.64000000000003,2018-05-07
BUY,46.315,24.32500000000003,2018-05-08
SELL,47.114999999999995,71.44000000000003,2018-05-10
BUY,47.114999999999995,24.32500000000003,2018-05-10
SELL,46.88,71.20500000000004,2018-05-16
