operationType,price,balance,date
BUY,69.155,30.235000000000014,2019-01-16
SELL,60.07,90.305,2019-01-30
BUY,60.07,30.235000000000007,2019-01-30
SELL,60.07,90.305,2019-01-30
BUY,62.455,27.85000000000001,2019-02-04
SELL,50.485,78.33500000000001,2019-04-25
BUY,46.94,31.39500000000001,2019-07-02
SELL,50.480000000000004,81.87500000000001,2019-07-16
BUY,51.269999999999996,30.605000000000018,2019-07-19
SELL,49.775000000000006,80.38000000000002,2019-07-24
BUY,45.705,34.675000000000026,2019-08-06
SELL,44.28,78.95500000000003,2019-08-22
BUY,46.55,32.40500000000003,2019-09-24
SELL,46.79,79.19500000000002,2019-10-03
BUY,48.955,30.240000000000023,2019-10-10
