operationType,price,balance,date
BUY,29.064999999999998,14.36,2017-01-05
SELL,29.064999999999998,43.425,2017-01-05
BUY,29.064999999999998,14.36,2017-01-05
SELL,29.34,43.7,2017-01-06
BUY,29.735,13.965000000000003,2017-01-10
SELL,29.9,43.865,2017-01-19
BUY,29.9,13.965000000000003,2017-01-19
SELL,29.939999999999998,43.905,2017-01-24
BUY,30.29,13.615000000000002,2017-01-25
SELL,30.29,43.905,2017-01-25
BUY,30.515,13.39,2017-01-27
SELL,30.314999999999998,43.705,2017-01-31
BUY,30.314999999999998,13.39,2017-01-31
SELL,30.314999999999998,43.705,2017-01-31
BUY,30.314999999999998,13.39,2017-01-31
SELL,31.975,45.365,2017-02-01
BUY,31.975,13.39,2017-02-01
SELL,32.06,45.45,2017-02-02
BUY,32.06,13.39,2017-02-02
SELL,33.855000000000004,47.245000000000005,2017-02-17
BUY,34.24,13.005000000000003,2017-02-23
SELL,34.71,47.715,2017-03-01
BUY,34.870000000000005,12.844999999999999,2017-03-02
SELL,34.68,47.525,2017-03-09
BUY,34.68,12.844999999999999,2017-03-09
SELL,35.16,48.004999999999995,2017-03-22
BUY,35.035,12.969999999999999,2017-03-27
SELL,35.93,48.9,2017-04-03
BUY,35.93,12.969999999999999,2017-04-03
SELL,35.93,48.9,2017-04-03
BUY,36.35,12.549999999999997,2017-04-05
SELL,35.845,48.394999999999996,2017-04-10
BUY,35.575,12.819999999999993,2017-04-11
SELL,35.575,48.394999999999996,2017-04-11
BUY,35.575,12.819999999999993,2017-04-11
SELL,36.055,48.87499999999999,2017-04-28
BUY,36.055,12.819999999999993,2017-04-28
SELL,36.885000000000005,49.705,2017-05-02
BUY,36.885000000000005,12.819999999999993,2017-05-02
SELL,36.885000000000005,49.705,2017-05-02
BUY,36.885000000000005,12.819999999999993,2017-05-02
SELL,36.585,49.404999999999994,2017-05-03
BUY,36.585,12.819999999999993,2017-05-03
SELL,36.585,49.404999999999994,2017-05-03
BUY,36.585,12.819999999999993,2017-05-03
SELL,36.585,49.404999999999994,2017-05-03
BUY,36.585,12.819999999999993,2017-05-03
SELL,36.63,49.449999999999996,2017-05-04
BUY,36.965,12.484999999999992,2017-05-05
SELL,36.965,49.449999999999996,2017-05-05
BUY,36.965,12.484999999999992,2017-05-05
SELL,38.364999999999995,50.84999999999999,2017-05-10
BUY,38.3,12.54999999999999,2017-05-11
SELL,37.980000000000004,50.529999999999994,2017-05-17
BUY,37.980000000000004,12.54999999999999,2017-05-18
SELL,38.45,50.99999999999999,2017-05-25
BUY,38.45,12.54999999999999,2017-05-26
SELL,38.535,51.08499999999999,2017-06-05
BUY,38.535,12.54999999999999,2017-06-05
SELL,38.535,51.08499999999999,2017-06-05
BUY,38.535,12.54999999999999,2017-06-05
SELL,38.025,50.57499999999999,2017-06-09
