operationType,price,balance,date
BUY,134.14499999999998,53.295000000000016,2017-01-17
SELL,145.84,199.13500000000002,2017-04-17
BUY,145.84,53.295000000000016,2017-04-17
SELL,145.84,199.13500000000002,2017-04-17
BUY,145.84,53.295000000000016,2017-04-17
SELL,145.84,199.13500000000002,2017-04-17
BUY,145.84,53.295000000000016,2017-04-17
SELL,145.84,199.13500000000002,2017-04-17
BUY,145.35000000000002,53.785,2017-04-18
SELL,150.6,204.385,2017-06-15
BUY,153.09,51.29499999999999,2017-06-20
SELL,156.64999999999998,207.94499999999996,2017-06-23
BUY,157.26,50.684999999999974,2017-07-12
SELL,158.36,209.045,2017-07-13
BUY,162.305,46.73999999999998,2017-07-17
SELL,162.305,209.045,2017-07-17
BUY,162.305,46.73999999999998,2017-07-17
SELL,162.305,209.045,2017-07-17
BUY,162.305,46.73999999999998,2017-07-17
SELL,179.86,226.6,2017-07-18
BUY,179.86,46.73999999999998,2017-07-18
SELL,173.60500000000002,220.345,2017-08-09
BUY,170.63,49.715,2017-08-11
SELL,170.4,220.115,2017-08-14
BUY,170.4,49.715,2017-08-14
SELL,170.4,220.115,2017-08-14
BUY,175.145,44.97,2017-09-01
SELL,182.505,227.475,2017-09-25
BUY,181.535,45.94,2017-09-27
SELL,179.60500000000002,225.54500000000002,2017-10-02
BUY,182.93,42.61500000000001,2017-10-04
SELL,190.01999999999998,232.635,2017-10-05
BUY,195.26,37.375,2017-10-11
SELL,202.315,239.69,2017-10-16
BUY,202.315,37.375,2017-10-16
SELL,202.315,239.69,2017-10-16
BUY,202.315,37.375,2017-10-16
SELL,199.79500000000002,237.17000000000002,2017-10-17
BUY,199.79500000000002,37.375,2017-10-17
SELL,197.32,234.695,2017-10-31
BUY,196.22,38.474999999999994,2017-11-08
SELL,196.22,234.695,2017-11-08
BUY,193.53,41.16499999999999,2017-11-29
SELL,183.85500000000002,225.02,2017-12-05
BUY,185.45499999999998,39.565000000000026,2017-12-07
SELL,189.865,229.43000000000004,2017-12-15
BUY,188.38,41.05000000000004,2017-12-20
SELL,189.03,230.08000000000004,2017-12-21
BUY,192.235,37.84500000000003,2017-12-29
