operationType,price,balance,date
BUY,32.56,17.510000000000005,2019-01-03
SELL,34.565,52.075,2019-01-08
BUY,35.995000000000005,16.08,2019-01-11
SELL,39.33,55.41,2019-02-19
BUY,39.64,15.769999999999996,2019-04-15
SELL,39.875,55.644999999999996,2019-04-22
BUY,39.370000000000005,16.27499999999999,2019-04-30
SELL,38.46,54.73499999999999,2019-05-08
BUY,37.65,17.084999999999994,2019-05-20
SELL,34.745000000000005,51.83,2019-05-29
BUY,38.925,12.905000000000001,2019-07-01
SELL,40.585,53.49,2019-07-24
BUY,40.25,13.240000000000002,2019-08-01
SELL,40.25,53.49,2019-08-01
BUY,38.83,14.660000000000004,2019-09-06
SELL,37.815,52.475,2019-09-16
BUY,37.815,14.660000000000004,2019-09-16
SELL,38.045,52.705000000000005,2019-09-17
BUY,37.94,14.765000000000008,2019-09-19
SELL,37.584999999999994,52.35,2019-09-20
BUY,37.025,15.325000000000003,2019-09-25
SELL,36.86,52.185,2019-10-01
BUY,34.864999999999995,17.320000000000007,2019-10-03
SELL,34.64,51.96000000000001,2019-10-07
BUY,34.385000000000005,17.575000000000003,2019-10-08
SELL,34.010000000000005,51.58500000000001,2019-10-09
BUY,35.54,16.04500000000001,2019-10-14
SELL,36.445,52.49000000000001,2019-10-17
BUY,36.260000000000005,16.230000000000004,2019-10-24
SELL,36.355000000000004,52.58500000000001,2019-10-25
BUY,38.08,14.50500000000001,2019-10-30
SELL,37.65,52.15500000000001,2019-11-01
