operationType,price,balance,date
BUY,131.2,61.474999999999994,2019-01-14
SELL,132.85,194.325,2019-01-17
BUY,133.85,60.474999999999994,2019-01-22
SELL,152.215,212.69,2019-03-06
BUY,150.935,61.754999999999995,2019-03-07
SELL,161.55,223.305,2019-04-03
BUY,160.35500000000002,62.94999999999999,2019-04-04
SELL,160.12,223.07,2019-04-09
BUY,163.75,59.31999999999999,2019-04-23
SELL,160.54000000000002,219.86,2019-05-01
BUY,160.54000000000002,59.31999999999999,2019-05-01
SELL,161.45499999999998,220.77499999999998,2019-06-05
BUY,165.015,55.75999999999999,2019-06-13
SELL,164.39999999999998,220.15999999999997,2019-06-27
BUY,157.515,62.64499999999998,2019-10-02
