operationType,price,balance,date
BUY,112.94,56.5,2019-01-03
SELL,120.385,176.885,2019-01-09
BUY,121.61500000000001,55.26999999999998,2019-01-16
SELL,126.635,181.90499999999997,2019-01-22
BUY,128.9,53.00499999999997,2019-01-23
SELL,128.9,181.90499999999997,2019-01-23
BUY,132.83499999999998,49.06999999999999,2019-01-24
SELL,143.32,192.39,2019-04-08
BUY,143.32,49.06999999999999,2019-04-08
SELL,142.63,191.7,2019-04-16
BUY,139.385,52.315,2019-04-18
SELL,133.91000000000003,186.22500000000002,2019-05-15
BUY,132.20499999999998,54.02000000000004,2019-06-06
SELL,132.965,186.98500000000004,2019-06-07
BUY,135.8,51.18500000000003,2019-06-12
SELL,138.24,189.42500000000004,2019-06-20
BUY,139.21499999999997,50.210000000000065,2019-06-27
SELL,139.965,190.17500000000007,2019-07-09
BUY,142.985,47.190000000000055,2019-07-15
SELL,142.215,189.40500000000006,2019-07-17
BUY,142.215,47.190000000000055,2019-07-17
SELL,137.88,185.07000000000005,2019-08-09
BUY,134.695,50.37500000000006,2019-08-21
SELL,138.95,189.32500000000005,2019-10-16
BUY,135.13,54.19500000000005,2019-10-17
