operationType,price,balance,date
BUY,174.52,97.41499999999999,2016-02-26
SELL,175.08,272.495,2016-05-03
BUY,163.05,109.445,2016-06-16
SELL,162.04500000000002,271.49,2016-07-19
BUY,168.285,103.20500000000001,2016-11-03
SELL,171.48000000000002,274.68500000000006,2016-11-07
