operationType,price,balance,date
BUY,233.565,140.08499999999998,2019-01-04
SELL,270.59000000000003,410.675,2019-06-13
BUY,271.35,139.325,2019-06-18
SELL,281.25,420.575,2019-06-26
BUY,291.09000000000003,129.48499999999996,2019-07-02
SELL,300.28999999999996,429.7749999999999,2019-09-12
BUY,300.28999999999996,129.48499999999996,2019-09-12
SELL,300.28999999999996,429.7749999999999,2019-09-12
BUY,285.92999999999995,143.84499999999997,2019-09-23
SELL,309.475,453.32,2019-12-05
BUY,316.33500000000004,136.98499999999996,2019-12-11
