operationType,price,balance,date
BUY,44.2,17.659999999999997,2018-01-17
SELL,44.019999999999996,61.67999999999999,2018-01-18
BUY,41.425,20.254999999999995,2018-02-06
SELL,41.555,61.809999999999995,2018-02-14
BUY,37.75,24.059999999999995,2018-03-06
SELL,37.519999999999996,61.57999999999999,2018-03-07
BUY,38.035,23.544999999999995,2018-03-14
SELL,37.144999999999996,60.68999999999999,2018-03-21
BUY,35.525,25.164999999999992,2018-03-27
SELL,38.015,63.17999999999999,2018-04-05
BUY,38.8,24.379999999999995,2018-04-11
SELL,38.32,62.699999999999996,2018-04-19
BUY,36.385,26.314999999999998,2018-05-08
SELL,37.08,63.394999999999996,2018-05-11
BUY,38.545,24.849999999999994,2018-05-24
SELL,37.54,62.38999999999999,2018-05-30
BUY,40.209999999999994,22.18,2018-05-31
SELL,37.55,59.73,2018-07-25
BUY,34.965,24.764999999999993,2018-09-24
SELL,34.585,59.349999999999994,2018-10-08
BUY,33.625,25.724999999999994,2018-10-30
SELL,36.39,62.114999999999995,2018-11-06
BUY,36.8,25.314999999999998,2018-11-29
SELL,38.48,63.794999999999995,2018-12-03
