operationType,price,balance,date
BUY,134.04500000000002,67.79499999999999,2020-01-06
SELL,136.64999999999998,204.44499999999996,2020-01-13
BUY,136.405,68.03999999999996,2020-01-14
SELL,141.59,209.62999999999997,2020-01-24
BUY,139.68,69.94999999999996,2020-01-28
SELL,143.02499999999998,212.97499999999994,2020-01-31
BUY,143.02499999999998,69.94999999999996,2020-01-31
SELL,143.02499999999998,212.97499999999994,2020-01-31
BUY,143.02499999999998,69.94999999999996,2020-01-31
SELL,154.055,224.00499999999997,2020-02-07
BUY,154.055,69.94999999999996,2020-02-07
