operationType,price,balance,date
BUY,57.575,33.44499999999999,2017-02-06
SELL,59.46,92.905,2017-03-29
BUY,59.32,33.585,2017-04-10
SELL,66.05,99.63499999999999,2017-07-21
BUY,66.05,33.584999999999994,2017-07-21
SELL,67.8,101.38499999999999,2017-07-27
BUY,67.93,33.454999999999984,2017-08-16
SELL,67.235,100.68999999999998,2017-09-11
BUY,71.5,29.189999999999984,2017-09-22
SELL,71.025,100.21499999999999,2017-09-25
BUY,71.59,28.624999999999986,2017-11-14
SELL,75.35499999999999,103.97999999999998,2017-12-28
