operationType,price,balance,date
BUY,58.760000000000005,37.165000000000006,2016-03-17
SELL,58.495000000000005,95.66000000000001,2016-04-06
BUY,61.135,34.52500000000001,2016-04-13
SELL,61.135,95.66000000000001,2016-04-13
BUY,62.14,33.52000000000001,2016-04-14
SELL,63.93000000000001,97.45000000000002,2016-04-21
BUY,61.545,35.905000000000015,2016-05-17
SELL,64.77000000000001,100.67500000000003,2016-06-09
BUY,61.39,39.285000000000025,2016-07-01
SELL,60.55,99.83500000000002,2016-07-07
BUY,63.48,36.355000000000025,2016-07-13
SELL,63.845,100.20000000000002,2016-07-21
BUY,65.145,35.05500000000002,2016-08-12
SELL,67.425,102.48000000000002,2016-09-01
BUY,67.425,35.05500000000002,2016-09-01
SELL,66.17,101.22500000000002,2016-09-19
BUY,66.43,34.795000000000016,2016-10-03
SELL,68.665,103.46000000000002,2016-11-02
BUY,76.495,26.965000000000018,2016-11-11
SELL,78.86500000000001,105.83000000000003,2016-11-15
BUY,83.645,22.18500000000003,2016-12-06
SELL,84.125,106.31000000000003,2016-12-07
