operationType,price,balance,date
BUY,107.25,51.47999999999999,2018-01-19
SELL,107.505,158.98499999999999,2018-01-25
BUY,102.415,56.56999999999998,2018-04-18
SELL,102.415,158.98499999999999,2018-04-18
BUY,80.13,78.85499999999999,2018-06-11
BUY,78.85,0.0049999999999954525,2018-09-12
SELL,81.965,81.97,2018-10-01
SELL,88.295,170.265,2018-10-22
BUY,87.355,82.90999999999998,2018-10-23
SELL,87.85499999999999,170.765,2018-11-01
BUY,86.02000000000001,84.74499999999998,2018-11-16
BUY,67.005,17.73999999999998,2018-12-28
