operationType,price,balance,date
BUY,326.69,158.66500000000002,2020-01-02
SELL,326.69,485.355,2020-01-02
BUY,327.25,158.10500000000002,2020-01-03
SELL,329.975,488.08000000000004,2020-01-06
BUY,329.975,158.10500000000002,2020-01-06
SELL,338.595,496.70000000000005,2020-01-15
BUY,339.7,157.00000000000006,2020-01-16
SELL,340.03499999999997,497.035,2020-01-17
BUY,340.03499999999997,157.00000000000006,2020-01-17
SELL,340.03499999999997,497.035,2020-01-17
BUY,340.03499999999997,157.00000000000006,2020-01-17
SELL,341.305,498.30500000000006,2020-01-21
BUY,341.305,157.00000000000006,2020-01-21
SELL,341.305,498.30500000000006,2020-01-21
BUY,341.305,157.00000000000006,2020-01-21
SELL,341.305,498.30500000000006,2020-01-21
BUY,341.305,157.00000000000006,2020-01-21
SELL,336.2,493.20000000000005,2020-01-22
BUY,336.2,157.00000000000006,2020-01-22
SELL,336.2,493.20000000000005,2020-01-22
BUY,336.2,157.00000000000006,2020-01-22
SELL,336.2,493.20000000000005,2020-01-22
BUY,336.2,157.00000000000006,2020-01-22
SELL,337.55,494.55000000000007,2020-01-23
BUY,337.55,157.00000000000006,2020-01-23
SELL,337.55,494.55000000000007,2020-01-23
BUY,337.55,157.00000000000006,2020-01-23
SELL,337.55,494.55000000000007,2020-01-23
BUY,337.55,157.00000000000006,2020-01-23
SELL,351.795,508.7950000000001,2020-01-24
BUY,351.795,157.00000000000006,2020-01-24
SELL,345.90999999999997,502.91,2020-01-27
BUY,345.76,157.15000000000003,2020-01-28
SELL,345.76,502.91,2020-01-28
BUY,345.76,157.15000000000003,2020-01-28
SELL,347.57500000000005,504.7250000000001,2020-01-29
BUY,347.57500000000005,157.15000000000003,2020-01-29
SELL,344.475,501.62500000000006,2020-01-30
BUY,347.865,153.76000000000005,2020-01-31
