operationType,price,balance,date
BUY,29.445,13.305,2019-01-03
SELL,30.625,43.93,2019-01-16
BUY,30.865000000000002,13.064999999999998,2019-01-22
SELL,30.77,43.834999999999994,2019-01-28
BUY,30.695,13.139999999999993,2019-01-29
SELL,30.08,43.21999999999999,2019-01-30
BUY,30.395000000000003,12.824999999999989,2019-03-12
SELL,30.78,43.60499999999999,2019-03-18
BUY,30.96,12.644999999999989,2019-03-25
SELL,32.185,44.82999999999999,2019-04-10
BUY,32.5,12.329999999999991,2019-04-16
SELL,31.455,43.78499999999999,2019-04-24
BUY,32.165,11.61999999999999,2019-05-23
SELL,31.53,43.14999999999999,2019-06-05
BUY,32.07,11.079999999999991,2019-06-13
SELL,33.68,44.75999999999999,2019-07-16
BUY,33.025,11.734999999999992,2019-07-19
SELL,32.18,43.91499999999999,2019-07-23
BUY,32.650000000000006,11.264999999999986,2019-07-24
SELL,35.04,46.304999999999986,2019-08-23
BUY,36.54,9.764999999999986,2019-09-09
SELL,37.235,46.999999999999986,2019-09-17
BUY,37.425,9.574999999999989,2019-09-19
SELL,37.66,47.234999999999985,2019-10-10
BUY,37.99,9.244999999999983,2019-10-28
SELL,39.435,48.679999999999986,2019-11-08
