operationType,price,balance,date
BUY,264.19,138.53000000000003,2019-01-02
SELL,264.19,402.72,2019-01-02
BUY,264.19,138.53000000000003,2019-01-02
SELL,319.74,458.27000000000004,2019-01-09
BUY,326.7,131.57000000000005,2019-01-11
SELL,353.57500000000005,485.1450000000001,2019-01-16
BUY,345.04499999999996,140.10000000000014,2019-01-17
SELL,345.04499999999996,485.1450000000001,2019-01-17
BUY,341.405,143.74000000000012,2019-01-18
SELL,341.405,485.1450000000001,2019-01-18
BUY,341.405,143.74000000000012,2019-01-18
SELL,353.34000000000003,497.08000000000015,2019-02-12
BUY,356.09000000000003,140.99000000000012,2019-02-13
SELL,356.09000000000003,497.08000000000015,2019-02-13
BUY,355.025,142.05500000000018,2019-02-14
SELL,355.70500000000004,497.7600000000002,2019-03-07
BUY,357.885,139.87500000000023,2019-03-12
SELL,352.92999999999995,492.8050000000002,2019-04-16
BUY,352.92999999999995,139.87500000000023,2019-04-16
SELL,354.72,494.59500000000025,2019-04-17
BUY,369.635,124.96000000000026,2019-04-22
SELL,372.095,497.0550000000003,2019-04-26
BUY,370.875,126.18000000000029,2019-04-30
SELL,354.53999999999996,480.72000000000025,2019-05-28
BUY,346.85,133.87000000000023,2019-06-04
SELL,352.35,486.22000000000025,2019-06-11
BUY,344.405,141.81500000000028,2019-06-13
SELL,367.405,509.22000000000025,2019-07-16
BUY,367.405,141.81500000000028,2019-07-16
SELL,342.55,484.3650000000003,2019-07-17
BUY,342.55,141.81500000000028,2019-07-17
SELL,342.55,484.3650000000003,2019-07-17
BUY,322.385,161.9800000000003,2019-07-18
SELL,322.385,484.3650000000003,2019-07-18
BUY,312.1,172.26500000000027,2019-07-24
SELL,321.44,493.70500000000027,2019-07-25
BUY,309.34000000000003,184.36500000000024,2019-08-08
SELL,297.865,482.23000000000025,2019-08-15
BUY,291.605,190.62500000000023,2019-08-28
SELL,279.03499999999997,469.6600000000002,2019-09-20
BUY,259.325,210.3350000000002,2019-09-25
SELL,302.975,513.3100000000002,2019-10-17
BUY,302.975,210.33500000000015,2019-10-17
SELL,302.975,513.3100000000002,2019-10-17
BUY,273.63,239.68000000000018,2019-10-25
SELL,292.815,532.4950000000001,2019-11-11
BUY,292.745,239.7500000000001,2019-11-15
SELL,310.635,550.3850000000001,2019-11-22
BUY,305.74,244.6450000000001,2019-12-06
SELL,297.875,542.5200000000001,2019-12-10
BUY,296.64,245.8800000000001,2019-12-11
