operationType,price,balance,date
BUY,100.985,33.31000000000002,2016-05-09
SELL,101.185,134.495,2016-05-13
BUY,99.555,34.94,2016-05-19
SELL,100.685,135.625,2016-06-01
BUY,103.535,32.09,2016-07-05
SELL,106.53999999999999,138.63,2016-07-12
BUY,107.315,31.314999999999998,2016-07-15
SELL,105.39500000000001,136.71,2016-07-21
BUY,102.345,34.36500000000001,2016-07-28
SELL,101.505,135.87,2016-07-29
BUY,101.94999999999999,33.920000000000016,2016-08-12
SELL,102.0,135.92000000000002,2016-08-30
BUY,103.59,32.33000000000001,2016-10-11
SELL,100.75999999999999,133.09,2016-10-25
BUY,100.75999999999999,32.33000000000001,2016-10-25
SELL,102.47,134.8,2016-10-28
BUY,108.275,26.525000000000006,2016-11-16
SELL,113.92,140.445,2016-12-07
