operationType,price,balance,date
BUY,109.055,54.44499999999999,2016-01-05
SELL,106.625,161.07,2016-01-14
BUY,108.32499999999999,52.745000000000005,2016-01-20
SELL,108.32499999999999,161.07,2016-01-20
BUY,108.32499999999999,52.745000000000005,2016-01-20
SELL,98.5,151.245,2016-03-24
BUY,87.63499999999999,63.610000000000014,2016-05-13
SELL,91.645,155.255,2016-05-20
BUY,103.00999999999999,52.245000000000005,2016-05-26
SELL,92.43,144.675,2016-06-21
BUY,91.14,53.53500000000001,2016-06-23
SELL,94.9,148.435,2016-07-07
BUY,98.455,49.980000000000004,2016-07-15
SELL,98.62,148.60000000000002,2016-07-18
BUY,98.62,49.98000000000002,2016-07-18
SELL,85.635,135.615,2016-07-19
BUY,87.145,48.47000000000001,2016-07-21
SELL,95.535,144.005,2016-08-05
BUY,95.655,48.349999999999994,2016-08-24
SELL,102.765,151.115,2016-10-04
BUY,104.4,46.715,2016-10-07
SELL,126.015,172.73000000000002,2016-12-21
