operationType,price,balance,date
BUY,170.975,67.67499999999998,2019-01-16
SELL,174.04,241.71499999999997,2019-03-11
BUY,179.97,61.744999999999976,2019-03-18
SELL,176.815,238.55999999999997,2019-03-19
BUY,176.815,61.744999999999976,2019-03-19
SELL,176.815,238.55999999999997,2019-03-19
BUY,197.125,41.434999999999974,2019-04-17
SELL,183.64499999999998,225.07999999999996,2019-05-06
BUY,168.56,56.51999999999995,2019-05-20
SELL,160.41500000000002,216.93499999999997,2019-05-23
BUY,158.985,57.94999999999996,2019-06-25
SELL,174.845,232.79499999999996,2019-07-26
BUY,156.165,76.62999999999997,2019-08-29
SELL,164.79,241.41999999999996,2019-09-09
BUY,172.325,69.09499999999997,2019-09-11
SELL,172.96,242.05499999999998,2019-09-17
