operationType,price,balance,date
BUY,65.715,26.549999999999997,2019-01-23
SELL,66.93,93.48,2019-04-22
BUY,62.9,30.580000000000005,2019-04-29
SELL,63.004999999999995,93.58500000000001,2019-04-30
BUY,63.004999999999995,30.580000000000013,2019-04-30
SELL,61.989999999999995,92.57000000000001,2019-05-14
BUY,60.05,32.52000000000001,2019-05-28
SELL,59.845,92.36500000000001,2019-05-29
BUY,59.345,33.02000000000001,2019-06-13
SELL,60.620000000000005,93.64000000000001,2019-07-22
BUY,62.22,31.420000000000016,2019-09-17
