operationType,price,balance,date
BUY,19.29,10.485000000000003,2014-01-10
SELL,18.705,29.19,2014-02-10
BUY,19.045,10.145,2014-02-11
SELL,18.915,29.06,2014-03-10
BUY,19.245,9.814999999999998,2014-03-24
SELL,19.244999999999997,29.059999999999995,2014-03-27
BUY,18.78,10.279999999999994,2014-04-07
SELL,18.93,29.209999999999994,2014-04-22
BUY,18.82,10.389999999999993,2014-04-23
SELL,22.61,32.99999999999999,2014-06-03
BUY,23.305,9.694999999999993,2014-06-09
SELL,23.855,33.55,2014-07-09
BUY,24.04,9.509999999999998,2014-07-14
SELL,23.515,33.025,2014-07-17
BUY,23.615000000000002,9.409999999999997,2014-07-21
SELL,23.675,33.084999999999994,2014-07-22
BUY,23.675,9.409999999999993,2014-07-22
SELL,23.675,33.084999999999994,2014-07-22
BUY,23.675,9.409999999999993,2014-07-22
SELL,24.575,33.98499999999999,2014-07-30
BUY,24.015,9.969999999999992,2014-08-01
SELL,25.259999999999998,35.22999999999999,2014-09-03
BUY,24.62,10.609999999999989,2014-09-04
SELL,24.62,35.22999999999999,2014-09-04
BUY,24.72,10.509999999999991,2014-09-05
SELL,24.72,35.22999999999999,2014-09-05
BUY,24.71,10.519999999999989,2014-09-08
SELL,24.634999999999998,35.15499999999999,2014-09-09
BUY,24.634999999999998,10.519999999999989,2014-09-09
SELL,24.875,35.39499999999999,2014-09-10
BUY,25.23,10.164999999999988,2014-09-11
SELL,25.36,35.52499999999999,2014-09-12
BUY,25.555,9.969999999999992,2014-09-15
SELL,25.405,35.37499999999999,2014-09-19
BUY,25.405,9.969999999999992,2014-09-19
SELL,25.490000000000002,35.459999999999994,2014-09-24
BUY,24.799999999999997,10.659999999999997,2014-09-25
SELL,25.195,35.855,2014-09-30
BUY,25.195,10.659999999999997,2014-09-30
SELL,24.975,35.635,2014-10-01
BUY,24.9,10.735,2014-10-02
SELL,24.9,35.635,2014-10-02
BUY,24.945,10.689999999999998,2014-10-08
SELL,24.945,35.635,2014-10-08
BUY,24.945,10.689999999999998,2014-10-08
SELL,25.325000000000003,36.015,2014-10-09
BUY,25.325000000000003,10.689999999999998,2014-10-09
SELL,24.759999999999998,35.449999999999996,2014-10-20
BUY,24.759999999999998,10.689999999999998,2014-10-20
SELL,25.69,36.379999999999995,2014-10-21
BUY,25.73,10.649999999999995,2014-10-22
SELL,25.73,36.379999999999995,2014-10-22
BUY,26.205,10.174999999999997,2014-10-23
SELL,26.245,36.42,2014-10-27
BUY,26.520000000000003,9.899999999999999,2014-10-28
SELL,26.520000000000003,36.42,2014-10-28
BUY,26.75,9.670000000000002,2014-10-29
SELL,27.25,36.92,2014-11-05
BUY,27.165,9.755000000000003,2014-11-06
SELL,27.235,36.99,2014-11-10
BUY,27.305,9.685000000000002,2014-11-11
SELL,27.305,36.99,2014-11-11
BUY,27.305,9.685000000000002,2014-11-11
SELL,28.08,37.765,2014-11-13
BUY,28.08,9.685000000000002,2014-11-13
SELL,29.235,38.92,2014-12-01
BUY,29.235,9.685000000000002,2014-12-01
SELL,28.52,38.205,2014-12-02
BUY,28.52,9.684999999999999,2014-12-02
SELL,28.905,38.59,2014-12-04
BUY,28.04,10.550000000000004,2014-12-09
SELL,28.04,38.59,2014-12-09
BUY,27.525,11.065000000000005,2014-12-12
SELL,27.065,38.13000000000001,2014-12-17
BUY,27.065,11.065000000000008,2014-12-17
SELL,27.065,38.13000000000001,2014-12-17
BUY,28.064999999999998,10.065000000000012,2014-12-18
SELL,28.075,38.140000000000015,2014-12-24
BUY,28.465,9.675000000000015,2014-12-29
