operationType,price,balance,date
BUY,352.545,127.45499999999998,2019-01-16
SELL,360.79999999999995,488.25499999999994,2019-01-22
BUY,358.04999999999995,130.20499999999998,2019-01-24
SELL,364.47,494.675,2019-01-28
BUY,364.1,130.575,2019-01-29
SELL,369.75,500.325,2019-03-26
BUY,371.2,129.125,2019-03-27
SELL,379.265,508.39,2019-04-16
BUY,351.68,156.70999999999998,2019-06-11
SELL,352.525,509.23499999999996,2019-07-10
BUY,362.16999999999996,147.065,2019-07-16
SELL,372.87,519.935,2019-07-23
BUY,372.87,147.06499999999994,2019-07-23
SELL,371.19,518.2549999999999,2019-10-10
BUY,372.475,145.77999999999986,2019-10-15
SELL,337.615,483.39499999999987,2019-10-21
BUY,367.85,115.54499999999985,2019-11-21
