operationType,price,balance,date
BUY,164.11,57.68000000000001,2017-04-25
SELL,165.11,222.79000000000002,2017-04-26
BUY,160.255,62.535000000000025,2017-06-05
SELL,181.695,244.23000000000002,2017-07-25
BUY,172.92000000000002,71.31,2017-08-30
SELL,178.3,249.61,2017-10-25
BUY,178.3,71.31,2017-10-25
SELL,174.685,245.995,2017-10-31
BUY,176.51999999999998,69.47500000000002,2017-12-22
