operationType,price,balance,date
BUY,198.89999999999998,95.25,2018-01-02
SELL,224.79000000000002,320.04,2018-01-22
BUY,224.79000000000002,95.25,2018-01-22
SELL,248.37,343.62,2018-01-23
BUY,248.37,95.25,2018-01-23
SELL,326.95000000000005,422.20000000000005,2018-03-12
BUY,326.95000000000005,95.25,2018-03-12
SELL,326.95000000000005,422.20000000000005,2018-03-12
BUY,313.975,108.22500000000002,2018-03-26
SELL,312.635,420.86,2018-03-27
BUY,295.5,125.36000000000001,2018-03-28
SELL,282.065,407.425,2018-04-03
BUY,302.375,105.05000000000001,2018-04-11
SELL,319.805,424.855,2018-04-16
BUY,319.805,105.05000000000001,2018-04-16
SELL,323.695,428.745,2018-04-23
BUY,313.63,115.11500000000001,2018-04-26
SELL,388.065,503.18,2018-06-14
BUY,393.905,109.27500000000003,2018-06-15
SELL,394.575,503.85,2018-06-19
BUY,394.575,109.27500000000003,2018-06-19
SELL,415.545,524.82,2018-06-22
BUY,396.335,128.48500000000007,2018-06-26
SELL,395.31,523.7950000000001,2018-06-29
BUY,395.31,128.48500000000007,2018-06-29
SELL,402.495,530.98,2018-07-13
BUY,399.73,131.25,2018-07-16
SELL,399.73,530.98,2018-07-16
BUY,363.21500000000003,167.765,2018-07-17
SELL,378.185,545.95,2018-07-18
BUY,378.185,167.76500000000004,2018-07-18
SELL,343.445,511.21000000000004,2018-07-30
BUY,331.55,179.66000000000003,2018-08-15
SELL,353.04499999999996,532.7049999999999,2018-09-05
BUY,344.65,188.05499999999995,2018-09-06
SELL,379.79999999999995,567.8549999999999,2018-10-01
BUY,379.79999999999995,188.05499999999995,2018-10-01
SELL,338.42,526.4749999999999,2018-10-10
BUY,335.115,191.3599999999999,2018-10-12
SELL,371.02,562.3799999999999,2018-10-17
BUY,371.02,191.3599999999999,2018-10-17
SELL,371.02,562.3799999999999,2018-10-17
BUY,332.92499999999995,229.45499999999993,2018-10-22
SELL,328.28,557.7349999999999,2018-10-23
BUY,328.28,229.45499999999993,2018-10-23
SELL,328.28,557.7349999999999,2018-10-23
BUY,306.155,251.57999999999993,2018-10-25
SELL,323.45,575.03,2018-11-08
BUY,323.45,251.57999999999998,2018-11-08
SELL,292.235,543.815,2018-11-14
BUY,288.14,255.67500000000007,2018-11-15
SELL,262.5,518.1750000000001,2018-11-22
BUY,264.63,253.54500000000007,2018-11-27
SELL,266.41999999999996,519.965,2018-12-11
BUY,272.33500000000004,247.63,2018-12-12
SELL,267.605,515.235,2018-12-18
BUY,267.605,247.63,2018-12-18
BUY,241.36,6.269999999999982,2018-12-24
