operationType,price,balance,date
BUY,97.5,47.504999999999995,2019-01-02
SELL,97.5,145.005,2019-01-02
BUY,101.09,43.91499999999999,2019-01-07
SELL,101.09,145.005,2019-01-07
BUY,101.86,43.144999999999996,2019-01-15
SELL,101.86,145.005,2019-01-15
BUY,103.735,41.269999999999996,2019-01-22
SELL,102.86,144.13,2019-01-24
BUY,103.85,40.28,2019-01-29
SELL,104.035,144.315,2019-02-04
BUY,103.09,41.224999999999994,2019-02-07
SELL,101.405,142.63,2019-02-08
BUY,103.07499999999999,39.55500000000001,2019-02-13
SELL,105.49,145.04500000000002,2019-02-21
BUY,105.195,39.85000000000002,2019-02-27
SELL,102.99000000000001,142.84000000000003,2019-03-07
BUY,103.575,39.26500000000003,2019-03-11
SELL,99.28,138.54500000000002,2019-03-25
BUY,99.28,39.265000000000015,2019-03-25
SELL,100.27,139.53500000000003,2019-03-28
BUY,103.055,36.48000000000002,2019-04-01
SELL,105.05,141.53000000000003,2019-04-04
BUY,105.63499999999999,35.89500000000004,2019-04-11
SELL,113.38499999999999,149.28000000000003,2019-04-25
BUY,113.38499999999999,35.89500000000004,2019-04-25
SELL,115.235,151.13000000000005,2019-05-02
BUY,110.15,40.98000000000005,2019-05-15
SELL,110.36500000000001,151.34500000000006,2019-05-16
BUY,111.08500000000001,40.26000000000005,2019-05-20
SELL,107.89,148.15000000000003,2019-05-30
BUY,108.83,39.320000000000036,2019-06-04
SELL,109.9,149.22000000000003,2019-06-05
BUY,110.00999999999999,39.210000000000036,2019-06-07
SELL,114.955,154.16500000000002,2019-07-16
BUY,114.955,39.21000000000002,2019-07-16
SELL,114.955,154.16500000000002,2019-07-16
BUY,114.32,39.84500000000003,2019-07-18
SELL,107.125,146.97000000000003,2019-08-14
BUY,108.995,37.97500000000002,2019-08-19
SELL,108.28,146.25500000000002,2019-08-20
BUY,106.49,39.76500000000003,2019-08-27
SELL,112.755,152.52000000000004,2019-09-06
BUY,113.855,38.665000000000035,2019-09-09
SELL,115.035,153.70000000000005,2019-09-10
BUY,118.935,34.76500000000004,2019-09-13
SELL,119.38,154.14500000000004,2019-09-16
BUY,119.52000000000001,34.62500000000003,2019-09-20
SELL,119.11,153.735,2019-09-23
BUY,118.6,35.13500000000002,2019-09-24
SELL,118.08500000000001,153.22000000000003,2019-09-25
BUY,114.535,38.68500000000003,2019-10-07
SELL,113.32499999999999,152.01000000000002,2019-10-10
BUY,115.36,36.65000000000002,2019-10-11
SELL,118.63999999999999,155.29000000000002,2019-10-15
BUY,118.63999999999999,36.650000000000034,2019-10-15
SELL,120.15,156.80000000000004,2019-10-16
BUY,125.205,31.59500000000004,2019-10-31
SELL,129.3,160.89500000000004,2019-11-05
BUY,128.98000000000002,31.91500000000002,2019-11-15
SELL,128.98000000000002,160.89500000000004,2019-11-15
BUY,133.20499999999998,27.690000000000055,2019-12-09
SELL,137.97,165.66000000000005,2019-12-18
